,I_e,I_i,dom_frequ,up_space,down_space
0,-0.5333333333333332,-0.9777777777777776,6.0,2.734375,5.598958333333334
0,-0.5333333333333332,-0.9333333333333332,6.0,2.604166666666667,5.729166666666666
0,-0.5333333333333332,-0.8888888888888888,5.0,2.8125,7.187499999999999
0,-0.4888888888888889,-0.9777777777777776,0.0,inf,
0,-0.4888888888888889,-0.9333333333333332,6.0,2.864583333333333,5.46875
0,-0.4888888888888889,-0.8888888888888888,6.0,2.734375,5.598958333333334
0,-0.4888888888888889,-0.8444444444444443,6.0,2.604166666666667,5.729166666666666
0,-0.4888888888888889,-0.8,5.0,2.8125,7.187499999999999
0,-0.4444444444444444,-0.9777777777777776,0.0,inf,
0,-0.4444444444444444,-0.9333333333333332,0.0,inf,
0,-0.4444444444444444,-0.8888888888888888,6.0,2.864583333333333,5.46875
0,-0.4444444444444444,-0.8444444444444443,6.0,2.864583333333333,5.46875
0,-0.4444444444444444,-0.8,5.0,3.2031249999999996,6.796874999999999
0,-0.4444444444444444,-0.7555555555555555,6.0,2.604166666666667,5.729166666666666
0,-0.3999999999999999,-0.8888888888888888,0.0,inf,
0,-0.3999999999999999,-0.8444444444444443,6.0,2.994791666666667,5.338541666666666
0,-0.3999999999999999,-0.8,6.0,2.994791666666667,5.338541666666666
0,-0.3999999999999999,-0.7555555555555555,6.0,2.864583333333333,5.46875
0,-0.3999999999999999,-0.711111111111111,6.0,2.734375,5.598958333333334
0,-0.3555555555555554,-0.8,6.0,3.2552083333333335,5.078125
0,-0.3555555555555554,-0.7555555555555555,6.0,2.994791666666667,5.338541666666666
0,-0.3555555555555554,-0.711111111111111,5.0,3.4375000000000004,6.5625
0,-0.3555555555555554,-0.6666666666666665,6.0,2.864583333333333,5.46875
0,-0.3111111111111111,-0.7555555555555555,6.0,3.2552083333333335,5.078125
0,-0.3111111111111111,-0.711111111111111,6.0,3.125,5.208333333333334
0,-0.3111111111111111,-0.6666666666666665,5.0,3.5937499999999996,6.406249999999999
0,-0.3111111111111111,-0.6222222222222222,6.0,2.994791666666667,5.338541666666666
0,-0.2666666666666666,-0.711111111111111,6.0,3.3854166666666665,4.947916666666666
0,-0.2666666666666666,-0.6666666666666665,6.0,3.3854166666666665,4.947916666666666
0,-0.2666666666666666,-0.6222222222222222,6.0,3.125,5.208333333333334
0,-0.2666666666666666,-0.5777777777777777,6.0,3.125,5.208333333333334
0,-0.2222222222222221,-0.6666666666666665,6.0,3.515625,4.817708333333334
0,-0.2222222222222221,-0.6222222222222222,6.0,3.3854166666666665,4.947916666666666
0,-0.2222222222222221,-0.5777777777777777,6.0,3.2552083333333335,5.078125
0,-0.2222222222222221,-0.5333333333333332,6.0,3.2552083333333335,5.078125
0,-0.1777777777777778,-0.6222222222222222,6.0,3.515625,4.817708333333334
0,-0.1777777777777778,-0.5777777777777777,6.0,3.515625,4.817708333333334
0,-0.1777777777777778,-0.5333333333333332,6.0,3.3854166666666665,4.947916666666666
0,-0.1333333333333333,-0.5777777777777777,6.0,3.7760416666666665,4.557291666666666
0,-0.1333333333333333,-0.5333333333333332,6.0,3.6458333333333335,4.6875
0,-0.1333333333333333,-0.4888888888888889,6.0,3.515625,4.817708333333334
0,-0.0888888888888888,-0.4888888888888889,6.0,3.7760416666666665,4.557291666666666
0,-0.0888888888888888,-0.4444444444444444,6.0,3.515625,4.817708333333334
0,-0.0444444444444442,-0.3999999999999999,6.0,3.7760416666666665,4.557291666666666
0,0.3555555555555556,-0.2222222222222221,0.0,inf,
