,b,tau_a,temp_dom_frequ,space_dom_frequ,down_duration,up_duration,down_space,up_space
0,0.0,1.0,0.025,7.0,80.0,0.0,0.06696428571428571,0.07589285714285714
0,0.025,1.0,0.025,7.0,0.0,80.0,0.06808035714285715,0.07477678571428571
0,0.05,1.0,0.0,7.0,0.0,0.0,0.06696428571428571,0.07589285714285714
0,0.07500000000000001,1.0,0.0,7.0,0.0,0.0,0.06919642857142856,0.07366071428571429
0,0.1,1.0,0.0,7.0,0.0,0.0,0.07142857142857142,0.07142857142857142
0,0.125,1.0,0.0,1.0,0.0,0.0,0.0859375,0.9140625
0,0.15000000000000002,1.0,0.0,7.0,0.0,0.0,0.0,0.14285714285714285
0,0.17500000000000002,1.0,0.0,7.0,0.0,0.0,0.0,0.14285714285714285
0,0.2,1.0,0.0,7.0,0.0,0.0,0.0,0.14285714285714285
0,0.225,1.0,0.0,6.0,0.0,0.0,0.0,0.16666666666666669
0,0.25,1.0,0.0,7.0,0.0,0.0,0.0,0.14285714285714285
0,0.275,1.0,0.0,7.0,0.0,0.0,0.0,0.14285714285714285
0,0.30000000000000004,1.0,0.0,6.0,0.0,0.0,0.0,0.16666666666666669
0,0.325,1.0,0.0,7.0,0.0,0.0,0.0,0.14285714285714285
0,0.35000000000000003,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.375,1.0,0.0,6.0,0.0,0.0,0.0,0.16666666666666669
0,0.4,1.0,0.0,6.0,0.0,0.0,0.0,0.16666666666666669
0,0.42500000000000004,1.0,0.0,6.0,0.0,0.0,0.0,0.16666666666666669
0,0.45,1.0,0.0,4.0,0.0,0.0,0.0,0.25
0,0.47500000000000003,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,300.0,0.025,7.0,0.0,80.0,0.06808035714285715,0.07477678571428571
0,0.025,300.0,0.925,7.0,1.032991891891892,1.1291702702702704,0.06808035714285715,0.07477678571428571
0,0.05,300.0,1.35,6.0,0.6572240740740741,0.8242574074074075,0.07552083333333333,0.09114583333333333
0,0.07500000000000001,300.0,1.7000000000000002,6.0,0.5340176470588235,0.6424529411764707,0.07552083333333333,0.09114583333333333
0,0.1,300.0,2.0,6.0,0.45960625000000005,0.5403937500000001,0.078125,0.08854166666666666
0,0.125,300.0,2.25,6.0,0.41563222222222224,0.47325666666666666,0.078125,0.08854166666666666
0,0.15000000000000002,300.0,2.475,6.0,0.3827383838383839,0.42534242424242424,0.08072916666666667,0.0859375
0,0.17500000000000002,300.0,2.7,6.0,0.3564833333333334,0.38425740740740744,0.08072916666666667,0.0859375
0,0.2,300.0,2.875,6.0,0.33968521739130436,0.35596695652173915,0.08072916666666667,0.0859375
0,0.225,300.0,3.075,6.0,0.3216341463414635,0.3287723577235772,0.08333333333333334,0.08333333333333334
0,0.25,300.0,3.25,5.0,0.28948923076923083,0.3258953846153847,0.0953125,0.1046875
0,0.275,300.0,3.4250000000000003,5.0,0.27960802919708033,0.3043335766423358,0.096875,0.10312500000000001
0,0.30000000000000004,300.0,3.5500000000000003,6.0,0.28969718309859155,0.2736830985915493,0.0859375,0.08072916666666667
0,0.325,300.0,3.8000000000000003,7.0,0.2891671052631579,0.23714868421052634,0.078125,0.06473214285714285
0,0.35000000000000003,300.0,3.9000000000000004,5.0,0.25767115384615386,0.255149358974359,0.1,0.1
0,0.375,300.0,4.075,7.0,0.27505950920245403,0.215738036809816,0.07924107142857142,0.06361607142857144
0,0.4,300.0,4.2250000000000005,7.0,0.26802840236686387,0.20534437869822483,0.08035714285714285,0.0625
0,0.42500000000000004,300.0,4.3500000000000005,7.0,0.26267873563218386,0.1970913793103448,0.08147321428571429,0.06138392857142857
0,0.45,300.0,4.4750000000000005,7.0,0.25825754189944133,0.18866983240223462,0.08258928571428571,0.06026785714285714
0,0.47500000000000003,300.0,4.55,5.0,0.2369302197802198,0.2026302197802198,0.1078125,0.09218749999999999
0,0.5,300.0,4.7,7.0,0.25027872340425533,0.17525319148936172,0.08370535714285714,0.05915178571428572
0,0.0,600.0,0.025,7.0,80.0,0.0,0.06696428571428571,0.07589285714285714
0,0.025,600.0,0.7000000000000001,7.0,1.35815,1.498992857142857,0.06808035714285715,0.07477678571428571
0,0.05,600.0,1.0,6.0,0.89434,1.10566,0.07291666666666667,0.09375
0,0.07500000000000001,600.0,1.225,6.0,0.7372775510204083,0.8953755102040816,0.07552083333333333,0.09114583333333333
0,0.1,600.0,1.425,6.0,0.6434701754385965,0.7600385964912281,0.078125,0.08854166666666666
0,0.125,600.0,1.6,6.0,0.58239375,0.6676062500000001,0.078125,0.08854166666666666
0,0.15000000000000002,600.0,1.7750000000000001,6.0,0.5347915492957747,0.5919690140845071,0.078125,0.08854166666666666
0,0.17500000000000002,600.0,1.925,6.0,0.4995753246753247,0.5393857142857144,0.078125,0.08854166666666666
0,0.2,600.0,2.0500000000000003,6.0,0.4752195121951219,0.5003902439024389,0.08072916666666667,0.0859375
0,0.225,600.0,2.1750000000000003,6.0,0.4548850574712643,0.46465517241379306,0.08333333333333334,0.08333333333333334
0,0.25,600.0,2.3000000000000003,6.0,0.4362184782608695,0.43334673913043475,0.08333333333333334,0.08333333333333334
0,0.275,600.0,2.4250000000000003,6.0,0.4181371134020619,0.40660515463917524,0.08333333333333334,0.08333333333333334
0,0.30000000000000004,600.0,2.5250000000000004,6.0,0.40791881188118806,0.38416039603960395,0.08333333333333334,0.08333333333333334
0,0.325,600.0,2.6500000000000004,5.0,0.3729971698113207,0.38171981132075467,0.1,0.1
0,0.35000000000000003,600.0,2.725,6.0,0.38694220183486244,0.347002752293578,0.08854166666666666,0.078125
0,0.375,600.0,2.825,6.0,0.3772654867256638,0.3306991150442478,0.08854166666666666,0.078125
0,0.4,600.0,2.975,7.0,0.38052100840336134,0.29174789915966387,0.08035714285714285,0.0625
0,0.42500000000000004,600.0,3.075,7.0,0.3715772357723578,0.27882926829268295,0.08147321428571429,0.06138392857142857
0,0.45,600.0,3.1750000000000003,7.0,0.3630023622047244,0.26691889763779525,0.08147321428571429,0.06138392857142857
0,0.47500000000000003,600.0,3.25,7.0,0.3587730769230769,0.2566115384615385,0.08258928571428571,0.06026785714285714
0,0.5,600.0,3.325,7.0,0.3538022556390978,0.2477015037593985,0.08370535714285714,0.05915178571428572
0,0.0,900.0,0.025,7.0,0.0,80.0,0.06808035714285715,0.07477678571428571
0,0.025,900.0,0.5750000000000001,7.0,1.6518173913043477,1.8264434782608694,0.06808035714285715,0.07477678571428571
0,0.05,900.0,0.8500000000000001,7.0,1.1314941176470588,1.2214470588235296,0.06919642857142856,0.07366071428571429
0,0.07500000000000001,900.0,1.0,6.0,0.9086725000000001,1.0913275000000002,0.07552083333333333,0.09114583333333333
0,0.1,900.0,1.175,6.0,0.7845276595744681,0.9176000000000001,0.07552083333333333,0.09114583333333333
0,0.125,900.0,1.3250000000000002,6.0,0.7024830188679244,0.8069509433962263,0.078125,0.08854166666666666
0,0.15000000000000002,900.0,1.4500000000000002,6.0,0.6536689655172413,0.7256413793103448,0.078125,0.08854166666666666
0,0.17500000000000002,900.0,1.5750000000000002,6.0,0.6088253968253967,0.6610158730158731,0.08072916666666667,0.0859375
0,0.2,900.0,1.675,6.0,0.5818835820895523,0.6121462686567164,0.08072916666666667,0.0859375
0,0.225,900.0,1.7750000000000001,6.0,0.5577183098591549,0.5690422535211268,0.08072916666666667,0.0859375
0,0.25,900.0,1.875,6.0,0.5350159999999999,0.5316506666666668,0.08333333333333334,0.08333333333333334
0,0.275,900.0,1.975,6.0,0.5133240506329114,0.4993341772151899,0.0859375,0.08072916666666667
