,I_e,I_i,avg_rate
0,-0.6499999999999999,-1.0,0.002714451894394377
0,-0.6,-1.0,0.0012005961263563457
0,-0.55,-1.0,0.0001537983406888671
0,-0.5,-1.0,0.00015681472395632606
0,-0.45,-1.0,0.0001576532177249229
0,-0.3999999999999999,-1.0,0.00016271972217221948
0,-0.35,-1.0,0.00014046922294439862
0,-0.29999999999999993,-1.0,0.00012964441179073394
0,-0.25,-1.0,0.0001646744852234578
0,-0.2,-1.0,0.00012790832852299755
0,-0.1499999999999999,-1.0,0.00013226500603448794
0,-0.09999999999999998,-1.0,0.00013233151855840018
0,-0.04999999999999993,-1.0,0.00012916145980094307
0,0.0,-1.0,0.00014352872068844875
0,0.05000000000000005,-1.0,0.00015307781007715311
0,0.10000000000000007,-1.0,0.0001584025364696863
0,0.15000000000000013,-1.0,0.000159320672893763
0,0.20000000000000015,-1.0,0.00014668670230675058
0,0.25,-1.0,0.00014879023105375362
0,0.30000000000000004,-1.0,0.00014708976664012718
0,0.3500000000000001,-1.0,0.00015024441801385704
0,0.4000000000000001,-1.0,0.00013317484877919738
0,0.4500000000000002,-1.0,0.00011635211070770514
0,-0.6499999999999999,-0.95,0.001972460144805243
0,-0.6,-0.95,0.004083464099838181
0,-0.55,-0.95,0.00048155418133497116
0,-0.5,-0.95,0.0001584917327723515
0,-0.45,-0.95,0.00015667963404308614
0,-0.3999999999999999,-0.95,0.0001598146168458526
0,-0.35,-0.95,0.0001584576709918571
0,-0.29999999999999993,-0.95,0.00014687042503133625
0,-0.25,-0.95,0.00016245573896982578
0,-0.2,-0.95,0.00012693292916064264
0,-0.1499999999999999,-0.95,0.0001224005779711542
0,-0.09999999999999998,-0.95,0.00013122128240706328
0,-0.04999999999999993,-0.95,0.0001153187662670175
0,0.0,-0.95,0.00014574080665818464
0,0.05000000000000005,-0.95,0.00015281165537339844
0,0.10000000000000007,-0.95,0.00013570302682690174
0,0.15000000000000013,-0.95,0.000157805479129101
0,0.20000000000000015,-0.95,0.00014802307869422302
0,0.25,-0.95,0.00014723256646741493
0,0.30000000000000004,-0.95,0.0001525882389490192
0,0.3500000000000001,-0.95,0.0001495786146399268
0,0.4000000000000001,-0.95,0.00015230028704860433
0,0.4500000000000002,-0.95,0.00010369440286801639
0,0.5,-0.95,0.00012219304518371318
0,-0.6,-0.9,0.0035020616938893135
0,-0.55,-0.9,0.0016421786760772797
0,-0.5,-0.9,0.00017632706896680494
0,-0.45,-0.9,0.00015718137233647868
0,-0.3999999999999999,-0.9,0.00015928032253396897
0,-0.35,-0.9,0.00016288217458593793
0,-0.29999999999999993,-0.9,0.000144607825054335
0,-0.25,-0.9,0.00012786971759917894
0,-0.2,-0.9,0.00012800274199465615
0,-0.1499999999999999,-0.9,0.00012125610404818129
0,-0.09999999999999998,-0.9,0.00013973017825336809
0,-0.04999999999999993,-0.9,0.00013248854617166025
0,0.0,-0.9,0.00013077435551398908
0,0.05000000000000005,-0.9,0.00013027741559856895
0,0.10000000000000007,-0.9,0.0001409851424527183
0,0.15000000000000013,-0.9,0.00016439060895207078
0,0.20000000000000015,-0.9,0.000148349337608612
0,0.25,-0.9,0.0001420590481501865
