,I_e,I_i,avg_rate
0,-0.6499999999999999,-1.0,0.002572892199376527
0,-0.6,-1.0,0.0026886752011387035
0,-0.55,-1.0,0.000593297820257059
0,-0.5,-1.0,0.00055176423831409
0,-0.45,-1.0,0.0005612540816464399
0,-0.3999999999999999,-1.0,0.0005843440358842672
0,-0.35,-1.0,0.000593549795924425
0,-0.29999999999999993,-1.0,0.0006002223013553879
0,-0.25,-1.0,0.0005946413602980218
0,-0.2,-1.0,0.0006000529792353097
0,-0.1499999999999999,-1.0,0.0006037890283830178
0,-0.09999999999999998,-1.0,0.0005196353536868148
0,-0.04999999999999993,-1.0,0.0005243849501621643
0,0.0,-1.0,0.000562943001421754
0,0.05000000000000005,-1.0,0.0005593845368680453
0,0.10000000000000007,-1.0,0.0005902681073730516
0,0.15000000000000013,-1.0,0.0005865347054600017
0,0.20000000000000015,-1.0,0.0005500396980448067
0,0.25,-1.0,0.000540932443502118
0,0.30000000000000004,-1.0,0.0005039598695408393
0,0.3500000000000001,-1.0,0.0004945515860834658
0,0.4000000000000001,-1.0,0.0004305532989157826
0,0.4500000000000002,-1.0,0.00025299314442100344
0,-0.6499999999999999,-0.95,0.0013056753409133692
0,-0.6,-0.95,0.003588381302285451
0,-0.55,-0.95,0.0020440961526663366
0,-0.5,-0.95,0.0005607962287526942
0,-0.45,-0.95,0.0005614510332717933
0,-0.3999999999999999,-0.95,0.0005681287349220648
0,-0.35,-0.95,0.0005928006453180207
0,-0.29999999999999993,-0.95,0.0005984910485605606
0,-0.25,-0.95,0.0006045033871165563
0,-0.2,-0.95,0.0006052318790623227
0,-0.1499999999999999,-0.95,0.0006049236137697813
0,-0.09999999999999998,-0.95,0.0005345946815554017
0,-0.04999999999999993,-0.95,0.0005305689457076146
0,0.0,-0.95,0.000546416158883845
0,0.05000000000000005,-0.95,0.0005606836345385365
0,0.10000000000000007,-0.95,0.0005901737986178154
0,0.15000000000000013,-0.95,0.0005874879850259263
0,0.20000000000000015,-0.95,0.0005501443400164299
0,0.25,-0.95,0.0005425046465215324
0,0.30000000000000004,-0.95,0.0005246227451743064
0,0.3500000000000001,-0.95,0.0004984870482352393
0,0.4000000000000001,-0.95,0.00043698835763285435
0,0.4500000000000002,-0.95,0.0002475418249749124
0,-0.6,-0.9,0.0030287089578108113
0,-0.55,-0.9,0.003555652426487941
0,-0.5,-0.9,0.0010555282194561761
0,-0.45,-0.9,0.0005632662339547221
0,-0.3999999999999999,-0.9,0.0005630577264818025
0,-0.35,-0.9,0.0005888704555469246
0,-0.29999999999999993,-0.9,0.0005964688450120791
0,-0.25,-0.9,0.0006007003844417702
0,-0.2,-0.9,0.0006045256048890586
0,-0.1499999999999999,-0.9,0.0006022810375716579
0,-0.09999999999999998,-0.9,0.0005435298199845817
0,-0.04999999999999993,-0.9,0.0005381882140249304
0,0.0,-0.9,0.0005165844135571406
0,0.05000000000000005,-0.9,0.000563913664495988
0,0.10000000000000007,-0.9,0.0005863757402599376
0,0.15000000000000013,-0.9,0.000585090748950746
0,0.20000000000000015,-0.9,0.0005706405292387577
0,0.25,-0.9,0.0005619616176047658
0,0.30000000000000004,-0.9,0.0005325689601775551
0,0.3500000000000001,-0.9,0.0005013253794046915
0,0.4000000000000001,-0.9,0.0004421388796501123
0,0.4500000000000002,-0.9,0.0004257525816286081
0,0.5,-0.9,0.00023624624562498006
0,-0.6,-0.85,0.0018205346978008537
0,-0.55,-0.85,0.003506032948061885
0,-0.5,-0.85,0.0019935117902011067
0,-0.45,-0.85,0.0006538040278033038
0,-0.3999999999999999,-0.85,0.0005700170749025468
0,-0.35,-0.85,0.0005723051463336463
0,-0.29999999999999993,-0.85,0.0005798904861268755
0,-0.25,-0.85,0.0005983309833324071
0,-0.2,-0.85,0.0006050646171009894
0,-0.1499999999999999,-0.85,0.0006043789630467192
0,-0.09999999999999998,-0.85,0.0005888576834184834
0,-0.04999999999999993,-0.85,0.0005522728918530953
0,0.0,-0.85,0.0005575248476480741
0,0.05000000000000005,-0.85,0.0005599163882744794
0,0.10000000000000007,-0.85,0.0005653904930556898
0,0.15000000000000013,-0.85,0.0005934391372743387
0,0.20000000000000015,-0.85,0.0005817779576405167
0,0.25,-0.85,0.0005215262873132159
0,0.30000000000000004,-0.85,0.0005356866930452572
0,0.3500000000000001,-0.85,0.0005019450348510098
0,0.4000000000000001,-0.85,0.0002670325103040143
0,0.4500000000000002,-0.85,0.0004207469980317943
0,0.5,-0.85,0.0002473624163149572
0,0.55,-0.85,0.00016218731772008098
0,-0.55,-0.8,0.002790804245052125
0,-0.5,-0.8,0.0034055175699253997
0,-0.45,-0.8,0.0011111584325227293
0,-0.3999999999999999,-0.8,0.0005827490499015285
0,-0.35,-0.8,0.0005641326467862129
0,-0.29999999999999993,-0.8,0.0005785145102720614
0,-0.25,-0.8,0.0005950283225265022
0,-0.2,-0.8,0.0006033050468024434
0,-0.1499999999999999,-0.8,0.0006043267226165958
0,-0.09999999999999998,-0.8,0.0005974525420562329
0,-0.04999999999999993,-0.8,0.0005535156673910251
0,0.0,-0.8,0.0005511525142562832
0,0.05000000000000005,-0.8,0.000570665024933359
0,0.10000000000000007,-0.8,0.0005723187714875284
0,0.15000000000000013,-0.8,0.0005923256759517384
0,0.20000000000000015,-0.8,0.0005888255990601107
0,0.25,-0.8,0.0005696628967123113
0,0.30000000000000004,-0.8,0.0005078076513097718
0,0.3500000000000001,-0.8,0.0005048920992185052
0,0.4000000000000001,-0.8,0.00027353299373692873
0,0.4500000000000002,-0.8,0.000435992784958928
0,0.5,-0.8,0.00033772566267083957
0,0.55,-0.8,0.0002437992812642457
0,-0.5,-0.75,0.003041913643797535
0,-0.45,-0.75,0.0021596550594191882
0,-0.3999999999999999,-0.75,0.0006598855676299151
