,I_e,I_i,#timesteps,#nodes
0,-0.55,-0.8,2961.0,0
0,-0.5,-0.8,1260.0,4
0,-0.45,-0.8,1309.0,2
0,-0.4,-0.8,2319.0,1
0,-0.35000000000000003,-0.8,2935.0,51
0,-0.30000000000000004,-0.8,2883.0,50
0,-0.25,-0.8,2816.0,51
0,-0.2,-0.8,2743.0,51
0,-0.15000000000000002,-0.8,2672.0,51
0,-0.09999999999999998,-0.8,2611.0,51
0,-0.05000000000000005,-0.8,2553.0,51
0,0.0,-0.8,2506.0,51
0,0.05000000000000005,-0.8,2467.0,51
0,0.09999999999999998,-0.8,2441.0,51
0,0.15000000000000002,-0.8,2429.0,51
0,0.2,-0.8,2422.0,51
0,0.25,-0.8,2429.0,51
0,0.30000000000000004,-0.8,2449.0,51
0,0.3500000000000001,-0.8,2481.0,51
0,0.4000000000000001,-0.8,2557.0,42
0,0.45,-0.8,2569.0,51
0,0.5,-0.8,2626.0,51
0,0.55,-0.8,2693.0,51
0,0.6000000000000001,-0.8,2675.0,42
0,0.6500000000000001,-0.8,2839.0,51
0,0.7,-0.8,3218.0,63
0,0.75,-0.8,3357.0,63
0,0.8,-0.8,6896.0,141
0,0.8500000000000001,-0.8,7338.0,148
0,0.9000000000000001,-0.8,12521.0,249
0,0.95,-0.8,13217.0,254
0,-0.5,-0.75,2389.0,3
0,-0.45,-0.75,1448.0,3
0,-0.4,-0.75,1466.0,2
0,-0.35000000000000003,-0.75,2522.0,16
0,-0.30000000000000004,-0.75,2909.0,51
0,-0.25,-0.75,2847.0,51
0,-0.2,-0.75,2776.0,51
0,-0.15000000000000002,-0.75,2704.0,51
0,-0.09999999999999998,-0.75,2636.0,51
0,-0.05000000000000005,-0.75,2579.0,51
0,0.0,-0.75,2527.0,51
0,0.05000000000000005,-0.75,2486.0,51
0,0.09999999999999998,-0.75,2455.0,51
0,0.15000000000000002,-0.75,2435.0,51
0,0.2,-0.75,2425.0,51
0,0.25,-0.75,2429.0,51
0,0.30000000000000004,-0.75,2449.0,51
0,0.3500000000000001,-0.75,2473.0,51
0,0.4000000000000001,-0.75,2546.0,42
0,0.45,-0.75,2565.0,42
0,0.5,-0.75,2611.0,51
0,0.55,-0.75,2673.0,51
0,0.6000000000000001,-0.75,2741.0,51
0,0.6500000000000001,-0.75,2815.0,50
0,0.7,-0.75,3181.0,64
0,0.75,-0.75,3317.0,63
0,0.8,-0.75,6683.0,148
0,0.8500000000000001,-0.75,3589.0,63
0,0.9000000000000001,-0.75,3712.0,63
0,0.95,-0.75,12953.0,257
0,-0.45,-0.7000000000000001,2547.0,0
0,-0.4,-0.7000000000000001,1469.0,0
0,-0.35000000000000003,-0.7000000000000001,1629.0,4
0,-0.30000000000000004,-0.7000000000000001,2925.0,51
0,-0.25,-0.7000000000000001,2877.0,51
0,-0.2,-0.7000000000000001,2807.0,51
0,-0.15000000000000002,-0.7000000000000001,2735.0,50
0,-0.09999999999999998,-0.7000000000000001,2664.0,51
0,-0.05000000000000005,-0.7000000000000001,2601.0,51
0,0.0,-0.7000000000000001,2549.0,51
0,0.05000000000000005,-0.7000000000000001,2501.0,51
0,0.09999999999999998,-0.7000000000000001,2469.0,51
0,0.15000000000000002,-0.7000000000000001,2448.0,51
0,0.2,-0.7000000000000001,2524.0,42
0,0.25,-0.7000000000000001,2432.0,51
0,0.30000000000000004,-0.7000000000000001,2444.0,51
0,0.3500000000000001,-0.7000000000000001,2464.0,51
0,0.4000000000000001,-0.7000000000000001,2536.0,42
0,0.45,-0.7000000000000001,2538.0,51
0,0.5,-0.7000000000000001,2593.0,51
0,0.55,-0.7000000000000001,2652.0,51
0,0.6000000000000001,-0.7000000000000001,2722.0,51
0,0.6500000000000001,-0.7000000000000001,2789.0,51
0,0.7,-0.7000000000000001,3148.0,64
0,0.75,-0.7000000000000001,4109.0,87
0,0.8,-0.7000000000000001,6261.0,141
0,0.8500000000000001,-0.7000000000000001,11234.0,246
0,0.9000000000000001,-0.7000000000000001,3673.0,63
0,0.95,-0.7000000000000001,12698.0,254
0,-0.4,-0.65,2855.0,24
0,-0.35000000000000003,-0.65,1759.0,6
0,-0.30000000000000004,-0.65,2034.0,2
0,-0.25,-0.65,2903.0,51
0,-0.2,-0.65,2843.0,51
0,-0.15000000000000002,-0.65,2768.0,51
0,-0.09999999999999998,-0.65,2696.0,51
0,-0.05000000000000005,-0.65,2634.0,51
0,0.0,-0.65,2574.0,51
0,0.05000000000000005,-0.65,2523.0,51
0,0.09999999999999998,-0.65,2485.0,51
0,0.15000000000000002,-0.65,2456.0,51
0,0.2,-0.65,2528.0,42
0,0.25,-0.65,2517.0,42
0,0.30000000000000004,-0.65,2438.0,51
0,0.3500000000000001,-0.65,2459.0,51
0,0.4000000000000001,-0.65,2535.0,42
0,0.45,-0.65,2529.0,51
0,0.5,-0.65,2580.0,51
0,0.55,-0.65,2635.0,51
0,0.6000000000000001,-0.65,2699.0,51
0,0.6500000000000001,-0.65,2766.0,51
0,0.7,-0.65,3098.0,63
0,0.75,-0.65,4049.0,86
0,0.8,-0.65,6322.0,143
0,0.8500000000000001,-0.65,10987.0,267
0,0.9000000000000001,-0.65,3638.0,64
0,0.95,-0.65,12445.0,260
0,-0.35000000000000003,-0.6000000000000001,5399.0,3
0,-0.30000000000000004,-0.6000000000000001,2997.0,22
0,-0.25,-0.6000000000000001,2536.0,19
0,-0.2,-0.6000000000000001,2873.0,51
0,-0.15000000000000002,-0.6000000000000001,2806.0,51
0,-0.09999999999999998,-0.6000000000000001,2736.0,51
0,-0.05000000000000005,-0.6000000000000001,2665.0,51
0,0.0,-0.6000000000000001,2600.0,51
0,0.05000000000000005,-0.6000000000000001,2548.0,51
0,0.09999999999999998,-0.6000000000000001,2505.0,51
0,0.15000000000000002,-0.6000000000000001,2472.0,51
0,0.2,-0.6000000000000001,2448.0,51
0,0.25,-0.6000000000000001,2524.0,42
0,0.30000000000000004,-0.6000000000000001,2442.0,51
0,0.3500000000000001,-0.6000000000000001,2456.0,51
0,0.4000000000000001,-0.6000000000000001,2483.0,51
0,0.45,-0.6000000000000001,2517.0,51
0,0.5,-0.6000000000000001,2564.0,51
0,0.55,-0.6000000000000001,2617.0,51
0,0.6000000000000001,-0.6000000000000001,2679.0,51
0,0.6500000000000001,-0.6000000000000001,2919.0,63
0,0.7,-0.6000000000000001,3645.0,84
0,0.75,-0.6000000000000001,3983.0,87
0,0.8,-0.6000000000000001,6164.0,143
0,0.8500000000000001,-0.6000000000000001,10769.0,271
0,0.9000000000000001,-0.6000000000000001,3588.0,63
0,0.95,-0.6000000000000001,7665.0,146
0,-0.30000000000000004,-0.55,3550.0,46
0,-0.25,-0.55,4977.0,3
0,-0.2,-0.55,2903.0,51
0,-0.15000000000000002,-0.55,2840.0,51
0,-0.09999999999999998,-0.55,2770.0,51
0,-0.05000000000000005,-0.55,2696.0,51
0,0.0,-0.55,2633.0,51
0,0.05000000000000005,-0.55,2576.0,51
0,0.09999999999999998,-0.55,2528.0,51
0,0.15000000000000002,-0.55,2491.0,51
0,0.2,-0.55,2463.0,51
0,0.25,-0.55,2530.0,42
0,0.30000000000000004,-0.55,2447.0,51
0,0.3500000000000001,-0.55,2456.0,51
0,0.4000000000000001,-0.55,2477.0,51
0,0.45,-0.55,2512.0,51
0,0.5,-0.55,2551.0,51
0,0.55,-0.55,2603.0,51
0,0.6000000000000001,-0.55,2657.0,51
0,0.6500000000000001,-0.55,2889.0,63
0,0.7,-0.55,3006.0,63
0,0.75,-0.55,5312.0,131
0,0.8,-0.55,5783.0,138
0,0.8500000000000001,-0.55,10430.0,257
0,0.9000000000000001,-0.55,3528.0,64
0,0.95,-0.55,7194.0,142
0,-0.25,-0.5,3148.0,42
0,-0.2,-0.5,8131.0,2
0,-0.15000000000000002,-0.5,2877.0,51
0,-0.09999999999999998,-0.5,2810.0,50
0,-0.05000000000000005,-0.5,2736.0,50
0,0.0,-0.5,2669.0,51
0,0.05000000000000005,-0.5,2603.0,51
0,0.09999999999999998,-0.5,2552.0,50
0,0.15000000000000002,-0.5,2507.0,51
0,0.2,-0.5,2481.0,51
0,0.25,-0.5,2460.0,51
0,0.30000000000000004,-0.5,2450.0,51
0,0.3500000000000001,-0.5,2455.0,51
0,0.4000000000000001,-0.5,2475.0,51
0,0.45,-0.5,2500.0,51
0,0.5,-0.5,2538.0,51
0,0.55,-0.5,2588.0,51
0,0.6000000000000001,-0.5,2644.0,51
0,0.6500000000000001,-0.5,2852.0,63
0,0.7,-0.5,3535.0,86
0,0.75,-0.5,5178.0,129
0,0.8,-0.5,5625.0,134
0,0.8500000000000001,-0.5,10176.0,251
0,0.9000000000000001,-0.5,10959.0,264
0,0.95,-0.5,11625.0,261
0,-0.15000000000000002,-0.45,4994.0,52
0,-0.09999999999999998,-0.45,3059.0,65
0,-0.05000000000000005,-0.45,2776.0,51
0,0.0,-0.45,2704.0,51
0,0.05000000000000005,-0.45,2641.0,51
0,0.09999999999999998,-0.45,2582.0,51
0,0.15000000000000002,-0.45,2534.0,51
0,0.2,-0.45,2495.0,51
0,0.25,-0.45,2478.0,51
0,0.30000000000000004,-0.45,2459.0,51
0,0.3500000000000001,-0.45,2461.0,51
0,0.4000000000000001,-0.45,2470.0,51
0,0.45,-0.45,2497.0,51
0,0.5,-0.45,2531.0,51
0,0.55,-0.45,2576.0,51
0,0.6000000000000001,-0.45,2702.0,63
0,0.6500000000000001,-0.45,2823.0,63
0,0.7,-0.45,3467.0,84
0,0.75,-0.45,5037.0,130
0,0.8,-0.45,5470.0,132
0,0.8500000000000001,-0.45,5942.0,140
0,0.9000000000000001,-0.45,10662.0,258
0,0.95,-0.45,11376.0,256
0,-0.09999999999999998,-0.4,2896.0,53
0,-0.05000000000000005,-0.4,3059.0,67
0,0.0,-0.4,2750.0,50
0,0.05000000000000005,-0.4,2679.0,51
0,0.09999999999999998,-0.4,2614.0,50
0,0.15000000000000002,-0.4,2562.0,51
0,0.2,-0.4,2521.0,51
0,0.25,-0.4,2496.0,51
0,0.30000000000000004,-0.4,2474.0,51
0,0.3500000000000001,-0.4,2474.0,51
0,0.4000000000000001,-0.4,2475.0,51
0,0.45,-0.4,2497.0,51
0,0.5,-0.4,2524.0,51
0,0.55,-0.4,2566.0,51
0,0.6000000000000001,-0.4,2611.0,51
0,0.6500000000000001,-0.4,2785.0,63
0,0.7,-0.4,3403.0,86
0,0.75,-0.4,4890.0,128
0,0.8,-0.4,5320.0,134
0,0.8500000000000001,-0.4,5777.0,139
0,0.9000000000000001,-0.4,10384.0,259
0,0.95,-0.4,0.0,0
0,-0.05000000000000005,-0.35000000000000003,3235.0,36
0,0.0,-0.35000000000000003,4550.0,52
0,0.05000000000000005,-0.35000000000000003,2721.0,51
0,0.09999999999999998,-0.35000000000000003,2653.0,51
0,0.15000000000000002,-0.35000000000000003,2597.0,51
0,0.2,-0.35000000000000003,2547.0,51
0,0.25,-0.35000000000000003,2511.0,51
0,0.30000000000000004,-0.35000000000000003,2488.0,51
0,0.3500000000000001,-0.35000000000000003,2486.0,51
0,0.4000000000000001,-0.35000000000000003,2478.0,51
0,0.45,-0.35000000000000003,2495.0,51
0,0.5,-0.35000000000000003,2519.0,51
0,0.55,-0.35000000000000003,2556.0,51
0,0.6000000000000001,-0.35000000000000003,2601.0,51
0,0.6500000000000001,-0.35000000000000003,2753.0,63
0,0.7,-0.35000000000000003,3352.0,85
0,0.75,-0.35000000000000003,4755.0,125
0,0.8,-0.35000000000000003,5176.0,131
0,0.8500000000000001,-0.35000000000000003,5607.0,135
0,0.9000000000000001,-0.35000000000000003,10119.0,253
0,0.05000000000000005,-0.30000000000000004,2770.0,51
0,0.09999999999999998,-0.30000000000000004,2697.0,51
0,0.15000000000000002,-0.30000000000000004,2634.0,51
0,0.2,-0.30000000000000004,2580.0,51
0,0.25,-0.30000000000000004,2536.0,51
0,0.30000000000000004,-0.30000000000000004,2506.0,51
0,0.3500000000000001,-0.30000000000000004,2491.0,51
0,0.4000000000000001,-0.30000000000000004,2492.0,51
0,0.45,-0.30000000000000004,2493.0,51
0,0.5,-0.30000000000000004,2517.0,51
0,0.55,-0.30000000000000004,2552.0,51
0,0.6000000000000001,-0.30000000000000004,2588.0,51
0,0.6500000000000001,-0.30000000000000004,2717.0,63
0,0.7,-0.30000000000000004,3276.0,85
0,0.75,-0.30000000000000004,4602.0,127
0,0.8,-0.30000000000000004,5044.0,133
0,0.8500000000000001,-0.30000000000000004,5468.0,135
0,0.09999999999999998,-0.25,3048.0,72
0,0.15000000000000002,-0.25,2678.0,51
0,0.2,-0.25,2798.0,71
0,0.25,-0.25,2566.0,51
0,0.30000000000000004,-0.25,2527.0,51
