,I_e,I_i,#timesteps,#nodes
0,-0.6499999999999999,-1.0,1660.0,2
0,-0.6,-1.0,12329.0,50
0,-0.55,-1.0,8091.0,54
0,-0.5,-1.0,7888.0,54
0,-0.45,-1.0,7647.0,52
0,-0.3999999999999999,-1.0,7581.0,52
0,-0.35,-1.0,7558.0,54
0,-0.29999999999999993,-1.0,7308.0,52
0,-0.25,-1.0,6793.0,53
0,-0.2,-1.0,7059.0,43
0,-0.1499999999999999,-1.0,6971.0,51
0,-0.09999999999999998,-1.0,6813.0,51
0,-0.04999999999999993,-1.0,6506.0,51
0,0.0,-1.0,6702.0,52
0,0.05000000000000005,-1.0,7218.0,51
0,0.10000000000000007,-1.0,7356.0,44
0,0.15000000000000013,-1.0,7166.0,45
0,0.20000000000000015,-1.0,7269.0,45
0,0.25,-1.0,7711.0,51
0,0.30000000000000004,-1.0,7981.0,53
0,0.3500000000000001,-1.0,8363.0,54
0,0.4000000000000001,-1.0,10001.0,69
0,0.4500000000000002,-1.0,17421.0,113
0,-0.6499999999999999,-0.95,1636.0,9
0,-0.6,-0.95,2407.0,2
0,-0.55,-0.95,8203.0,52
0,-0.5,-0.95,7965.0,50
0,-0.45,-0.95,7757.0,53
0,-0.3999999999999999,-0.95,7481.0,50
0,-0.35,-0.95,7620.0,54
0,-0.29999999999999993,-0.95,7461.0,53
0,-0.25,-0.95,6815.0,53
0,-0.2,-0.95,7095.0,43
0,-0.1499999999999999,-0.95,6963.0,51
0,-0.09999999999999998,-0.95,6758.0,50
0,-0.04999999999999993,-0.95,6937.0,51
0,0.0,-0.95,6558.0,52
0,0.05000000000000005,-0.95,7067.0,50
0,0.10000000000000007,-0.95,7362.0,44
0,0.15000000000000013,-0.95,7315.0,43
0,0.20000000000000015,-0.95,7203.0,44
0,0.25,-0.95,7622.0,50
0,0.30000000000000004,-0.95,7442.0,45
0,0.3500000000000001,-0.95,9479.0,66
0,0.4000000000000001,-0.95,8498.0,54
0,0.4500000000000002,-0.95,10361.0,68
0,0.5,-0.95,18230.0,114
0,-0.6,-0.9,1491.0,6
0,-0.55,-0.9,1832.0,3
0,-0.5,-0.9,8061.0,52
0,-0.45,-0.9,7854.0,54
0,-0.3999999999999999,-0.9,7591.0,52
0,-0.35,-0.9,7562.0,53
0,-0.29999999999999993,-0.9,7561.0,54
0,-0.25,-0.9,6918.0,52
0,-0.2,-0.9,7059.0,43
0,-0.1499999999999999,-0.9,7127.0,52
0,-0.09999999999999998,-0.9,6904.0,51
0,-0.04999999999999993,-0.9,6574.0,51
0,0.0,-0.9,6545.0,51
0,0.05000000000000005,-0.9,6983.0,50
0,0.10000000000000007,-0.9,7208.0,42
0,0.15000000000000013,-0.9,7384.0,44
0,0.20000000000000015,-0.9,7191.0,43
0,0.25,-0.9,7580.0,51
0,0.30000000000000004,-0.9,7366.0,43
0,0.3500000000000001,-0.9,9342.0,67
0,0.4000000000000001,-0.9,9621.0,65
0,0.4500000000000002,-0.9,10201.0,70
0,0.5,-0.9,17999.0,114
0,-0.6,-0.85,1402.0,2
0,-0.55,-0.85,1581.0,2
0,-0.5,-0.85,8315.0,54
0,-0.45,-0.85,8086.0,53
0,-0.3999999999999999,-0.85,7713.0,53
0,-0.35,-0.85,7478.0,51
0,-0.29999999999999993,-0.85,7561.0,55
0,-0.25,-0.85,7085.0,50
0,-0.2,-0.85,6963.0,42
0,-0.1499999999999999,-0.85,7219.0,53
0,-0.09999999999999998,-0.85,7036.0,51
0,-0.04999999999999993,-0.85,6710.0,50
0,0.0,-0.85,7063.0,42
0,0.05000000000000005,-0.85,6723.0,52
0,0.10000000000000007,-0.85,7131.0,42
0,0.15000000000000013,-0.85,7371.0,44
0,0.20000000000000015,-0.85,7284.0,43
0,0.25,-0.85,7281.0,41
0,0.30000000000000004,-0.85,7686.0,53
