,I_e,I_i,stability,static,dynamic,double,p_random,p_down
0,-1.0,-1.0,1,0,0,0,1,1
0,-0.96,-1.0,1,0,0,0,1,1
0,-0.92,-1.0,1,0,0,0,1,1
0,-0.88,-1.0,1,0,0,0,1,1
0,-0.84,-1.0,1,0,0,0,1,1
0,-0.8,-1.0,1,0,0,0,1,1
0,-0.76,-1.0,1,0,0,0,1,1
0,-0.72,-1.0,1,0,0,0,1,1
0,-0.6799999999999999,-1.0,1,0,0,0,1,1
0,-0.64,-1.0,1,0,0,0,1,1
0,-0.6,-1.0,1,0,0,0,1,1
0,-0.56,-1.0,,0,0,0,1,1
0,-0.52,-1.0,,0,0,0,1,1
0,-0.48,-1.0,,0,0,0,4,4
0,-0.43999999999999995,-1.0,0,0,0,0,4,4
0,-0.4,-1.0,0,0,0,0,4,4
0,-0.36,-1.0,0,0,0,0,4,2
0,-0.31999999999999995,-1.0,0,0,0,0,2,2
0,-0.28,-1.0,0,0,0,0,2,2
0,-0.24,-1.0,0,0,0,0,2,2
0,-0.19999999999999996,-1.0,0,0,0,0,2,2
0,-0.16000000000000003,-1.0,0,0,0,0,2,2
0,-0.12,-1.0,0,0,0,0,2,2
0,-0.07999999999999996,-1.0,0,0,0,0,2,2
0,-0.040000000000000036,-1.0,0,0,0,0,2,2
0,0.0,-1.0,0,0,0,0,2,2
0,0.040000000000000036,-1.0,0,0,0,0,2,2
0,0.08000000000000007,-1.0,0,0,0,0,2,2
0,0.1200000000000001,-1.0,0,0,0,0,2,2
0,0.15999999999999992,-1.0,0,0,0,0,2,2
0,0.19999999999999996,-1.0,0,0,0,0,2,2
0,0.24,-1.0,0,0,0,0,2,2
0,0.28,-1.0,0,0,0,0,2,2
0,0.32000000000000006,-1.0,0,0,0,0,2,2
0,0.3600000000000001,-1.0,1,0,0,0,1,1
0,0.40000000000000013,-1.0,1,0,0,0,1,1
0,0.43999999999999995,-1.0,1,0,0,0,1,1
0,0.48,-1.0,1,0,0,0,1,1
0,0.52,-1.0,1,0,0,0,1,1
0,0.56,-1.0,1,0,0,0,1,1
0,0.6000000000000001,-1.0,1,0,0,0,1,1
0,0.6400000000000001,-1.0,1,0,0,0,1,1
0,0.6799999999999999,-1.0,1,0,0,0,1,1
0,0.72,-1.0,1,0,0,0,1,1
0,0.76,-1.0,1,0,0,0,1,1
0,0.8,-1.0,1,0,0,0,1,1
0,0.8400000000000001,-1.0,1,0,0,0,1,1
0,0.8800000000000001,-1.0,1,0,0,0,1,1
0,0.9199999999999999,-1.0,1,0,0,0,1,1
0,0.96,-1.0,1,0,0,0,1,1
0,1.0,-1.0,1,0,0,0,1,1
0,-1.0,-0.96,1,0,0,0,1,1
0,-0.96,-0.96,1,0,0,0,1,1
0,-0.92,-0.96,1,0,0,0,1,1
0,-0.88,-0.96,1,0,0,0,1,1
0,-0.84,-0.96,1,0,0,0,1,1
0,-0.8,-0.96,1,0,0,0,1,1
0,-0.76,-0.96,1,0,0,0,1,1
0,-0.72,-0.96,1,0,0,0,1,1
0,-0.6799999999999999,-0.96,1,0,0,0,1,1
0,-0.64,-0.96,1,0,0,0,1,1
0,-0.6,-0.96,1,0,0,0,1,1
0,-0.56,-0.96,,0,0,0,1,1
0,-0.52,-0.96,,0,0,0,1,1
0,-0.48,-0.96,,0,0,0,4,4
0,-0.43999999999999995,-0.96,0,0,0,0,4,4
0,-0.4,-0.96,0,0,0,0,4,4
0,-0.36,-0.96,0,0,0,0,4,4
0,-0.31999999999999995,-0.96,0,0,0,0,4,2
0,-0.28,-0.96,0,0,0,0,2,2
0,-0.24,-0.96,0,0,0,0,2,2
0,-0.19999999999999996,-0.96,0,0,0,0,2,2
0,-0.16000000000000003,-0.96,0,0,0,0,2,2
0,-0.12,-0.96,0,0,0,0,2,2
0,-0.07999999999999996,-0.96,0,0,0,0,2,2
0,-0.040000000000000036,-0.96,0,0,0,0,2,2
0,0.0,-0.96,0,0,0,0,2,2
0,0.040000000000000036,-0.96,0,0,0,0,2,2
0,0.08000000000000007,-0.96,0,0,0,0,2,2
0,0.1200000000000001,-0.96,0,0,0,0,2,2
0,0.15999999999999992,-0.96,0,0,0,0,2,2
0,0.19999999999999996,-0.96,0,0,0,0,2,2
0,0.24,-0.96,0,0,0,0,2,2
0,0.28,-0.96,0,0,0,0,2,2
0,0.32000000000000006,-0.96,0,0,0,0,2,2
0,0.3600000000000001,-0.96,1,0,0,0,1,1
0,0.40000000000000013,-0.96,1,0,0,0,1,1
0,0.43999999999999995,-0.96,1,0,0,0,1,1
0,0.48,-0.96,1,0,0,0,1,1
0,0.52,-0.96,1,0,0,0,1,1
0,0.56,-0.96,1,0,0,0,1,1
0,0.6000000000000001,-0.96,1,0,0,0,1,1
0,0.6400000000000001,-0.96,1,0,0,0,1,1
0,0.6799999999999999,-0.96,1,0,0,0,1,1
0,0.72,-0.96,1,0,0,0,1,1
0,0.76,-0.96,1,0,0,0,1,1
0,0.8,-0.96,1,0,0,0,1,1
0,0.8400000000000001,-0.96,1,0,0,0,1,1
0,0.8800000000000001,-0.96,1,0,0,0,1,1
0,0.9199999999999999,-0.96,1,0,0,0,1,1
0,0.96,-0.96,1,0,0,0,1,1
0,1.0,-0.96,1,0,0,0,1,1
0,-1.0,-0.92,1,0,0,0,1,1
0,-0.96,-0.92,1,0,0,0,1,1
0,-0.92,-0.92,1,0,0,0,1,1
