,I_e,I_i,dom_frequ,down_duration,up_duration
0,-0.6699999999999999,-1.0,4.800000000000001,0.2034645833333333,0.00486875
0,-0.6599999999999999,-1.0,3.5,0.2687685714285714,0.016945714285714286
0,-0.6499999999999999,-1.0,3.7,0.24912162162162166,0.02114864864864865
0,-0.64,-1.0,3.8000000000000003,0.23838947368421054,0.024768421052631582
0,-0.63,-1.0,3.9000000000000004,0.22901794871794875,0.027392307692307695
0,-0.62,-1.0,4.0,0.22001250000000003,0.0299875
0,-0.61,-1.0,4.0,0.21710749999999998,0.032892500000000005
0,-0.6,-1.0,1.8,0.4658055555555556,0.08975
0,-0.59,-1.0,2.0,0.39533000000000007,0.10467000000000001
0,-0.5800000000000001,-1.0,1.7000000000000002,0.4688117647058824,0.11942352941176472
0,-0.5700000000000001,-1.0,2.0,0.37770000000000004,0.12230000000000002
0,-0.56,-1.0,2.0,0.374395,0.125605
0,-0.55,-1.0,2.0,0.3715650000000001,0.128435
0,-0.54,-1.0,2.0,0.3690550000000001,0.13094500000000003
0,-0.53,-1.0,2.0,0.36007,0.13993
0,-0.52,-1.0,2.1,0.3471904761904762,0.129
0,-0.51,-1.0,2.1,0.3386904761904762,0.1375
0,-0.5,-1.0,2.1,0.3367809523809524,0.13940952380952382
0,-0.49,-1.0,2.1,0.33687142857142865,0.13931904761904762
0,0.3800000000000001,-1.0,0.9,0.116,0.9951111111111112
0,-0.6699999999999999,-0.99,6.6000000000000005,0.15070454545454548,0.0008106060606060606
0,-0.6599999999999999,-0.99,3.5,0.27061142857142856,0.015102857142857145
0,-0.6499999999999999,-0.99,3.6,0.2570055555555556,0.020772222222222227
0,-0.64,-0.99,3.8000000000000003,0.23930526315789477,0.02385263157894737
0,-0.63,-0.99,3.9000000000000004,0.23015384615384615,0.026256410256410255
0,-0.62,-0.99,4.0,0.22092,0.02908
0,-0.61,-0.99,4.0,0.21816750000000001,0.0318325
0,-0.6,-0.99,4.0,0.2153225,0.0346775
0,-0.59,-0.99,2.0,0.38883500000000004,0.11116500000000003
0,-0.5800000000000001,-0.99,2.0,0.38435,0.11565
