,I_e,I_i,stability,turing,turing_hopf,p_random
0,-1.0,-1.0,1,0,0,1
0,-1.0,-0.925,1,0,0,1
0,-1.0,-0.85,1,0,0,1
0,-1.0,-0.775,1,0,0,1
0,-1.0,-0.7,1,0,0,1
0,-1.0,-0.625,1,0,0,1
0,-1.0,-0.55,1,0,0,1
0,-1.0,-0.475,1,0,0,1
0,-1.0,-0.4,1,0,0,1
0,-1.0,-0.32500000000000007,1,0,0,1
0,-1.0,-0.25,1,0,0,1
0,-1.0,-0.17500000000000004,1,0,0,1
0,-1.0,-0.10000000000000009,1,0,0,1
0,-1.0,-0.025000000000000022,1,0,0,1
0,-1.0,0.050000000000000044,1,0,0,1
0,-1.0,0.125,1,0,0,1
0,-1.0,0.19999999999999996,1,0,0,1
0,-1.0,0.2749999999999999,1,0,0,1
0,-1.0,0.34999999999999987,1,0,0,1
0,-1.0,0.42500000000000004,1,0,0,1
0,-1.0,0.5,1,0,0,1
0,-1.0,0.575,1,0,0,1
0,-1.0,0.6499999999999999,1,0,0,1
0,-1.0,0.7249999999999999,1,0,0,1
0,-1.0,0.7999999999999998,1,0,0,1
0,-1.0,0.875,1,0,0,1
0,-1.0,0.95,1,0,0,1
0,-1.0,1.025,1,0,0,1
0,-1.0,1.1,1,0,0,1
0,-1.0,1.1749999999999998,1,0,0,1
0,-1.0,1.25,1,0,0,1
0,-1.0,1.3249999999999997,1,0,0,1
0,-1.0,1.4,1,0,0,1
0,-1.0,1.475,1,0,0,1
0,-1.0,1.5499999999999998,1,0,0,1
0,-1.0,1.625,1,0,0,1
0,-1.0,1.6999999999999997,1,0,0,1
0,-1.0,1.775,1,0,0,1
0,-1.0,1.85,1,0,0,1
0,-1.0,1.9249999999999998,1,0,0,1
0,-1.0,2.0,1,0,0,1
0,-0.925,-1.0,1,0,0,1
0,-0.925,-0.925,1,0,0,1
0,-0.925,-0.85,1,0,0,1
0,-0.925,-0.775,1,0,0,1
0,-0.925,-0.7,1,0,0,1
0,-0.925,-0.625,1,0,0,1
0,-0.925,-0.55,1,0,0,1
0,-0.925,-0.475,1,0,0,1
0,-0.925,-0.4,1,0,0,1
0,-0.925,-0.32500000000000007,1,0,0,1
0,-0.925,-0.25,1,0,0,1
0,-0.925,-0.17500000000000004,1,0,0,1
0,-0.925,-0.10000000000000009,1,0,0,1
