,Unnamed: 0,tau_a,dom_frequ,down_duration,down_duration_ratio,up_duration,up_duration_ratio
0,0,10.0,103.75,0.0059146506024096,0.6136450000000004,0.0037239036144578,0.38635499999999956
1,1,300.0,101.95,0.0060088769004413,0.612605,0.0037998528690534,0.3873950000000001
2,2,600.0,101.9,0.0060109421000981,0.6125150000000024,0.0038026005888125,0.3874849999999975
3,3,900.0,101.9,0.0060106476938174,0.6124849999999992,0.0038028949950932,0.3875150000000009
4,4,1200.0,101.9,0.0060104514229636,0.6124649999999968,0.003803091265947,0.3875350000000031
5,5,1500.0,101.9,0.0060103042198233,0.6124500000000004,0.0038032384690873,0.3875499999999997
6,6,1800.0,101.9,0.0060105495583905,0.612474999999998,0.0038029931305201,0.387525000000002
7,7,2100.0,101.9,0.0060103532875368,0.612455000000006,0.0038031894013738,0.38754499999999403
8,8,2400.0,101.9,0.0060099607458292,0.6124150000000015,0.0038035819430814,0.3875849999999985
9,9,2700.0,101.9,0.0060101079489695,0.612429999999998,0.0038034347399411,0.3875700000000019
10,10,3000.0,101.9,0.0060105004906771,0.6124700000000025,0.0038030421982335,0.38752999999999743
11,11,3300.0,101.9,0.0060121197252208,0.6126350000000055,0.0038014229636898,0.3873649999999944
12,12,3600.0,101.9,0.0060094700686947,0.6123650000000023,0.0038040726202158,0.38763499999999784
13,13,3900.0,101.9,0.0060098135426889,0.6124000000000049,0.0038037291462217,0.38759999999999506
14,14,4200.0,101.9,0.0060107948969578,0.6125000000000059,0.0038027477919528,0.3874999999999941
15,15,4500.0,101.9,0.0060106967615309,0.6124900000000048,0.0038028459273797,0.38750999999999525
16,16,4800.0,101.9,0.0060101079489695,0.612429999999998,0.0038034347399411,0.3875700000000019
17,17,5100.0,101.9,0.0060099116781158,0.6124100000000061,0.0038036310107948,0.38758999999999394
18,18,5400.0,101.9,0.0060107948969578,0.6125000000000059,0.0038027477919528,0.3874999999999941
19,19,5700.0,101.9,0.0060106476938174,0.6124849999999992,0.0038028949950932,0.3875150000000009
20,20,6000.0,101.9,0.006009715407262,0.6123900000000038,0.0038038272816486,0.3876099999999961
