,Unnamed: 0,tau_a,dom_frequ,down_duration,down_duration_ratio,up_duration,up_duration_ratio
0,0,10.0,0.0,0.0,,0.0,
1,1,300.0,0.0,0.0,,0.0,
2,2,600.0,1.6,0.326565625,0.522505,0.298434375,0.47749499999999995
3,3,900.0,1.3,0.3979461538461539,0.5173300000000001,0.3712846153846154,0.48267
4,4,1200.0,1.15,0.4771086956521738,0.548675,0.3924565217391303,0.451325
5,5,1500.0,1.05,0.527552380952381,0.5539299999999999,0.4248285714285715,0.44607
6,6,1800.0,0.95,0.5832947368421053,0.55413,0.4693368421052632,0.44587
7,7,2100.0,0.8500000000000001,0.6318705882352943,0.5370900000000001,0.5446000000000001,0.46291
8,8,2400.0,0.8,0.6779125,0.54233,0.5720875,0.45766999999999997
9,9,2700.0,0.75,0.746,0.5594999999999999,0.5873333333333334,0.4405
10,10,3000.0,0.75,0.7395866666666667,0.55469,0.5937466666666666,0.44530999999999993
11,11,3300.0,0.7000000000000001,0.7835214285714285,0.548465,0.64505,0.4515350000000001
12,12,3600.0,0.65,0.8606230769230769,0.5594049999999999,0.6778384615384616,0.440595
13,13,3900.0,0.65,0.8573076923076924,0.55725,0.6811538461538462,0.44275
14,14,4200.0,0.6000000000000001,0.9166083333333332,0.549965,0.7500583333333333,0.450035
15,15,4500.0,0.6000000000000001,0.920625,0.5523750000000001,0.7460416666666665,0.44762499999999994
16,16,4800.0,0.6000000000000001,0.9007166666666667,0.5404300000000001,0.7659499999999999,0.45957
17,17,5100.0,0.55,1.0111181818181818,0.5561149999999999,0.8070636363636364,0.443885
18,18,5400.0,0.55,1.0087727272727274,0.554825,0.809409090909091,0.445175
19,19,5700.0,0.55,1.0171454545454546,0.55943,0.8010363636363637,0.44056999999999996
20,20,6000.0,0.5,1.1270600000000002,0.5635300000000001,0.87294,0.43647
