,Unnamed: 0,b,dom_frequ,down_duration,down_duration_ratio,up_duration,up_duration_ratio
0,0,0.0,0.05,20.0,1.0,0.0,0.0
1,1,0.025,0.45,1.0679666666666667,0.480585,1.1542555555555556,0.519415
2,2,0.05,0.65,0.7144384615384616,0.46438499999999994,0.8240230769230771,0.535615
3,3,0.075,0.8500000000000001,0.5760882352941177,0.489675,0.6003823529411765,0.510325
4,4,0.1,1.0,0.50119,0.50119,0.4988100000000001,0.4988100000000001
5,5,0.125,1.1,0.4652909090909091,0.51182,0.4438,0.48818
6,6,0.15,1.25,0.436948,0.5461849999999999,0.363052,0.45381499999999997
7,7,0.175,1.35,0.3960518518518519,0.5346700000000001,0.3446888888888889,0.46533
8,8,0.2,1.4,0.3836892857142857,0.537165,0.3305964285714285,0.462835
9,9,0.225,1.5,0.3671033333333333,0.550655,0.2995633333333333,0.44934500000000005
10,10,0.25,1.6,0.36943125,0.59109,0.25556875,0.40891
11,11,0.275,1.7000000000000002,0.3498970588235294,0.594825,0.2383382352941176,0.405175
12,12,0.3,1.8,0.3206416666666666,0.577155,0.2349138888888889,0.4228450000000001
13,13,0.325,1.8,0.3262583333333334,0.587265,0.2292972222222222,0.41273499999999996
14,14,0.35,1.9,0.316228947368421,0.600835,0.2100868421052631,0.399165
15,15,0.375,1.95,0.3128410256410256,0.61004,0.1999794871794872,0.38996000000000003
16,16,0.4,2.0,0.31131,0.62262,0.18869,0.37738
17,17,0.425,2.0500000000000003,0.3094219512195121,0.634315,0.1783829268292683,0.3656850000000001
18,18,0.45,2.1,0.3071333333333333,0.6449800000000001,0.1690571428571428,0.35501999999999995
19,19,0.475,0.0,0.0,,0.0,
20,20,0.5,0.0,0.0,,0.0,
