,Unnamed: 0,b,dom_frequ,down_duration,down_duration_ratio,up_duration,up_duration_ratio
0,0,0.0,0.05,0.0,0.0,20.0,1.0
1,1,0.025,0.45,1.0567,0.47551499999999997,1.1655222222222223,0.524485
2,2,0.05,0.7000000000000001,0.7321857142857143,0.51253,0.6963857142857143,0.48746999999999996
3,3,0.075,0.8500000000000001,0.6053235294117648,0.514525,0.5711470588235295,0.48547499999999993
4,4,0.1,1.0,0.488625,0.488625,0.511375,0.511375
5,5,0.125,1.15,0.468295652173913,0.53854,0.4012695652173913,0.46146000000000004
6,6,0.15,1.2000000000000002,0.4271583333333333,0.51259,0.4061749999999999,0.4874099999999999
7,7,0.175,1.35,0.3881777777777778,0.5240400000000001,0.3525629629629629,0.47595999999999994
8,8,0.2,1.4,0.3852678571428571,0.539375,0.3290178571428571,0.460625
9,9,0.225,1.5,0.36058,0.54087,0.3060866666666667,0.45913
10,10,0.25,1.65,0.326169696969697,0.53818,0.2798909090909091,0.46181999999999995
11,11,0.275,1.65,0.3393454545454545,0.55992,0.2667151515151515,0.4400800000000001
12,12,0.3,1.75,0.3290428571428572,0.575825,0.2423857142857143,0.42417499999999997
13,13,0.325,1.8,0.3236861111111111,0.582635,0.2318694444444444,0.41736499999999993
14,14,0.35,1.9,0.3168315789473684,0.60198,0.2094842105263158,0.39802000000000004
15,15,0.375,1.95,0.3087641025641026,0.6020900000000001,0.2040564102564102,0.39790999999999993
16,16,0.4,2.0,0.309195,0.61839,0.190805,0.38161
17,17,0.425,2.0500000000000003,0.3069560975609756,0.6292600000000002,0.1808487804878048,0.37073999999999996
18,18,0.45,2.1,0.3046571428571428,0.63978,0.1715333333333333,0.36022
19,19,0.475,0.0,0.0,,0.0,
20,20,0.5,0.0,0.0,,0.0,
