,Unnamed: 0,tau_a,dom_frequ,down_duration,down_duration_ratio,up_duration,up_duration_ratio
0,0,10.0,0.0,0.0,,0.0,
1,1,300.0,2.25,0.2448222222222222,0.55085,0.1996222222222222,0.44915
2,2,600.0,1.6,0.348453125,0.5575249999999999,0.276546875,0.44247500000000006
3,3,900.0,1.3,0.4284076923076923,0.55693,0.3408230769230769,0.44307
4,4,1200.0,1.15,0.4819999999999999,0.5542999999999999,0.3875652173913043,0.4457
5,5,1500.0,1.0,0.558815,0.558815,0.441185,0.441185
6,6,1800.0,0.95,0.6163894736842106,0.5855699999999999,0.436242105263158,0.41443
7,7,2100.0,0.8500000000000001,0.6584176470588237,0.559655,0.5180529411764707,0.440345
8,8,2400.0,0.8,0.6964000000000001,0.5571200000000001,0.5536,0.44288
9,9,2700.0,0.75,0.7328800000000001,0.54966,0.6004533333333334,0.45034
10,10,3000.0,0.75,0.7166,0.53745,0.6167333333333334,0.46254999999999996
11,11,3300.0,0.7000000000000001,0.80995,0.5669649999999999,0.6186214285714287,0.43303500000000006
12,12,3600.0,0.65,0.9035923076923076,0.5873349999999999,0.6348692307692309,0.4126650000000001
13,13,3900.0,0.65,0.8871384615384615,0.5766399999999999,0.651323076923077,0.42336
14,14,4200.0,0.6000000000000001,0.9505166666666668,0.5703100000000001,0.71615,0.42968999999999996
15,15,4500.0,0.6000000000000001,0.9740749999999998,0.5844449999999999,0.6925916666666667,0.41555500000000006
16,16,4800.0,0.6000000000000001,0.9683666666666668,0.5810200000000001,0.6982999999999999,0.4189799999999999
17,17,5100.0,0.55,1.0733636363636363,0.5903499999999999,0.7448181818181819,0.40965
18,18,5400.0,0.55,1.067427272727273,0.5870850000000001,0.7507545454545456,0.41291500000000003
19,19,5700.0,0.55,1.0516090909090912,0.578385,0.7665727272727273,0.42161499999999996
20,20,6000.0,0.5,1.12622,0.56311,0.87378,0.43689
