,I_e,I_i,#timesteps,#nodes
0,-0.5,-1.0,4803.0,25
0,-0.3999999999999999,-1.0,4511.0,25
0,-0.5,-0.9,4915.0,25
0,-0.3999999999999999,-0.9,4634.0,25
0,-0.29999999999999993,-0.9,4353.0,25
0,-0.3999999999999999,-0.8,4759.0,25
0,-0.29999999999999993,-0.8,4465.0,25
0,-0.2,-0.8,4225.0,25
0,-0.29999999999999993,-0.7,4602.0,25
0,-0.2,-0.7,4326.0,25
0,-0.09999999999999998,-0.7,4141.0,25
0,-0.2,-0.6,4442.0,25
0,-0.09999999999999998,-0.6,4215.0,25
0,0.0,-0.6,4103.0,25
0,-0.09999999999999998,-0.5,4322.0,25
0,0.0,-0.5,4164.0,25
0,0.10000000000000007,-0.5,4220.0,21
0,0.0,-0.3999999999999999,4246.0,25
0,0.10000000000000007,-0.3999999999999999,4158.0,25
0,0.20000000000000015,-0.3999999999999999,4245.0,21
0,0.10000000000000007,-0.29999999999999993,4198.0,25
0,0.20000000000000015,-0.29999999999999993,4180.0,25
0,0.30000000000000004,-0.29999999999999993,4275.0,25
0,0.30000000000000004,-0.2,4239.0,25
0,0.4000000000000001,-0.09999999999999998,4416.0,31
0,0.6000000000000001,0.0,5226.0,31
0,0.7000000000000002,0.10000000000000007,5534.0,32
