,I_e,I_i,#timesteps,#nodes
0,-0.52,-1.0,4870.0,25
0,-0.5,-1.0,4803.0,25
0,-0.48,-1.0,4743.0,25
0,-0.46,-1.0,4686.0,25
0,-0.44,-1.0,4631.0,25
0,-0.42,-1.0,4571.0,25
0,-0.4,-1.0,4513.0,25
0,-0.38,-1.0,4453.0,25
0,0.3800000000000001,-1.0,5915.0,31
0,-0.52,-0.98,4902.0,25
0,-0.5,-0.98,4830.0,25
0,-0.48,-0.98,4771.0,25
0,-0.46,-0.98,4708.0,25
0,-0.44,-0.98,4658.0,25
0,-0.42,-0.98,4602.0,25
0,-0.4,-0.98,4535.0,25
0,-0.38,-0.98,4480.0,25
0,-0.36,-0.98,4420.0,25
0,-0.52,-0.96,4916.0,25
0,-0.5,-0.96,4854.0,25
0,-0.48,-0.96,4789.0,25
0,-0.46,-0.96,4738.0,25
0,-0.44,-0.96,4681.0,25
0,-0.42,-0.96,4629.0,26
0,-0.4,-0.96,4556.0,25
0,-0.38,-0.96,4502.0,25
0,-0.36,-0.96,4442.0,25
0,-0.34,-0.96,4390.0,25
0,-0.5,-0.94,4879.0,25
0,-0.48,-0.94,4820.0,25
0,-0.46,-0.94,4757.0,25
0,-0.44,-0.94,4702.0,25
0,-0.42,-0.94,4642.0,25
0,-0.4,-0.94,4583.0,25
0,-0.38,-0.94,4518.0,25
0,-0.36,-0.94,4469.0,25
0,-0.34,-0.94,4412.0,25
0,-0.31999999999999995,-0.94,4364.0,25
0,-0.5,-0.92,4900.0,25
0,-0.48,-0.92,4845.0,25
0,-0.46,-0.92,4785.0,25
0,-0.44,-0.92,4727.0,25
0,-0.42,-0.92,4669.0,25
0,-0.4,-0.92,4612.0,25
0,-0.38,-0.92,4543.0,25
0,-0.36,-0.92,4490.0,25
0,-0.34,-0.92,4438.0,25
0,-0.31999999999999995,-0.92,4391.0,25
0,-0.29999999999999993,-0.92,4335.0,25
0,-0.5,-0.9,4915.0,25
0,-0.48,-0.9,4877.0,25
0,-0.46,-0.9,4802.0,25
0,-0.44,-0.9,4748.0,25
0,-0.42,-0.9,4691.0,25
0,-0.4,-0.9,4638.0,25
0,-0.38,-0.9,4572.0,25
0,-0.36,-0.9,4509.0,25
0,-0.34,-0.9,4453.0,25
0,-0.31999999999999995,-0.9,4395.0,25
0,-0.29999999999999993,-0.9,4353.0,25
0,-0.28,-0.9,4304.0,25
0,-0.48,-0.88,4917.0,26
0,-0.46,-0.88,4836.0,25
0,-0.44,-0.88,4776.0,25
0,-0.42,-0.88,4706.0,25
0,-0.4,-0.88,4661.0,25
0,-0.38,-0.88,4600.0,25
0,-0.36,-0.88,4536.0,25
0,-0.34,-0.88,4481.0,25
0,-0.31999999999999995,-0.88,4422.0,25
0,-0.29999999999999993,-0.88,4375.0,25
0,-0.28,-0.88,4326.0,25
0,-0.26,-0.88,4280.0,25
0,-0.46,-0.86,4853.0,25
0,-0.44,-0.86,4789.0,25
0,-0.42,-0.86,4737.0,25
0,-0.4,-0.86,4688.0,25
0,-0.38,-0.86,4621.0,25
0,-0.36,-0.86,4560.0,25
0,-0.34,-0.86,4498.0,25
0,-0.31999999999999995,-0.86,4442.0,25
0,-0.29999999999999993,-0.86,4387.0,25
0,-0.28,-0.86,4340.0,25
0,-0.26,-0.86,4290.0,25
0,-0.24,-0.86,4251.0,25
0,-0.46,-0.84,4889.0,25
0,-0.44,-0.84,4825.0,25
0,-0.42,-0.84,4766.0,25
0,-0.4,-0.84,4715.0,25
0,-0.38,-0.84,4642.0,25
0,-0.36,-0.84,4595.0,25
0,-0.34,-0.84,4529.0,25
0,-0.31999999999999995,-0.84,4466.0,25
0,-0.29999999999999993,-0.84,4418.0,25
0,-0.28,-0.84,4372.0,25
0,-0.26,-0.84,4315.0,25
0,-0.24,-0.84,4266.0,25
0,-0.22,-0.84,4226.0,25
0,-0.44,-0.8200000000000001,4856.0,25
0,-0.42,-0.8200000000000001,4794.0,25
0,-0.4,-0.8200000000000001,4729.0,25
0,-0.38,-0.8200000000000001,4678.0,25
0,-0.36,-0.8200000000000001,4613.0,25
0,-0.34,-0.8200000000000001,4552.0,25
0,-0.31999999999999995,-0.8200000000000001,4496.0,25
0,-0.29999999999999993,-0.8200000000000001,4446.0,25
0,-0.28,-0.8200000000000001,4393.0,25
0,-0.26,-0.8200000000000001,4337.0,25
0,-0.24,-0.8200000000000001,4281.0,25
0,-0.22,-0.8200000000000001,4243.0,25
0,-0.2,-0.8200000000000001,4208.0,25
0,-0.17999999999999994,-0.8200000000000001,4173.0,25
0,-0.42,-0.8,4815.0,25
0,-0.4,-0.8,4745.0,25
0,-0.38,-0.8,4695.0,25
0,-0.36,-0.8,4635.0,25
0,-0.34,-0.8,4580.0,25
0,-0.31999999999999995,-0.8,4517.0,25
0,-0.29999999999999993,-0.8,4465.0,25
0,-0.28,-0.8,4415.0,25
0,-0.26,-0.8,4357.0,25
0,-0.24,-0.8,4305.0,25
0,-0.22,-0.8,4257.0,25
0,-0.2,-0.8,4225.0,25
0,-0.17999999999999994,-0.8,4184.0,25
0,-0.16000000000000006,-0.8,4158.0,25
0,-0.42,-0.78,4843.0,25
0,-0.4,-0.78,4781.0,25
0,-0.38,-0.78,4727.0,25
0,-0.36,-0.78,4674.0,25
0,-0.34,-0.78,4613.0,26
0,-0.31999999999999995,-0.78,4545.0,25
0,-0.29999999999999993,-0.78,4485.0,25
0,-0.28,-0.78,4433.0,25
0,-0.26,-0.78,4375.0,25
0,-0.24,-0.78,4327.0,25
0,-0.22,-0.78,4273.0,25
0,-0.2,-0.78,4230.0,25
0,-0.17999999999999994,-0.78,4199.0,25
0,-0.16000000000000006,-0.78,4176.0,25
0,-0.14,-0.78,4148.0,25
0,-0.4,-0.76,4805.0,25
0,-0.38,-0.76,4754.0,25
0,-0.36,-0.76,4691.0,25
0,-0.34,-0.76,4629.0,25
0,-0.31999999999999995,-0.76,4570.0,25
0,-0.29999999999999993,-0.76,4503.0,25
0,-0.28,-0.76,4452.0,25
