,I_e,I_i,#timesteps,#nodes
0,-0.52,-1.0,4868.0,51
0,-0.5,-1.0,4805.0,51
0,-0.48,-1.0,4750.0,51
0,-0.46,-1.0,4694.0,51
0,-0.44,-1.0,4638.0,51
0,-0.42,-1.0,4573.0,51
0,-0.4,-1.0,4515.0,51
0,-0.38,-1.0,4464.0,51
0,0.3800000000000001,-1.0,5940.0,65
0,-0.52,-0.98,4895.0,51
0,-0.5,-0.98,4835.0,51
0,-0.48,-0.98,4771.0,51
0,-0.46,-0.98,4718.0,51
0,-0.44,-0.98,4659.0,51
0,-0.42,-0.98,4601.0,51
0,-0.4,-0.98,4531.0,51
0,-0.38,-0.98,4480.0,51
0,-0.36,-0.98,4431.0,51
0,-0.52,-0.96,4920.0,51
0,-0.5,-0.96,4856.0,50
0,-0.48,-0.96,4796.0,51
0,-0.46,-0.96,4738.0,50
0,-0.44,-0.96,4686.0,51
0,-0.42,-0.96,4627.0,52
0,-0.4,-0.96,4561.0,50
0,-0.38,-0.96,4501.0,51
0,-0.36,-0.96,4448.0,51
0,-0.34,-0.96,4399.0,51
0,-0.5,-0.94,4883.0,51
0,-0.48,-0.94,4815.0,51
0,-0.46,-0.94,4762.0,51
0,-0.44,-0.94,4703.0,51
0,-0.42,-0.94,4648.0,51
0,-0.4,-0.94,4587.0,51
0,-0.38,-0.94,4523.0,51
0,-0.36,-0.94,4469.0,51
0,-0.34,-0.94,4418.0,51
0,-0.31999999999999995,-0.94,4369.0,51
0,-0.5,-0.92,4896.0,50
0,-0.48,-0.92,4844.0,51
0,-0.46,-0.92,4786.0,51
0,-0.44,-0.92,4731.0,51
0,-0.42,-0.92,4669.0,51
0,-0.4,-0.92,4611.0,51
0,-0.38,-0.92,4546.0,51
0,-0.36,-0.92,4491.0,51
0,-0.34,-0.92,4436.0,51
0,-0.31999999999999995,-0.92,4386.0,51
0,-0.29999999999999993,-0.92,4333.0,51
0,-0.5,-0.9,4928.0,51
0,-0.48,-0.9,4875.0,51
0,-0.46,-0.9,4806.0,51
0,-0.44,-0.9,4751.0,51
0,-0.42,-0.9,4700.0,51
0,-0.4,-0.9,4643.0,52
0,-0.38,-0.9,4574.0,51
0,-0.36,-0.9,4512.0,51
0,-0.34,-0.9,4460.0,51
0,-0.31999999999999995,-0.9,4411.0,51
0,-0.29999999999999993,-0.9,4355.0,51
0,-0.28,-0.9,4305.0,51
0,-0.48,-0.88,4900.0,51
0,-0.46,-0.88,4837.0,51
0,-0.44,-0.88,4776.0,51
0,-0.42,-0.88,4721.0,51
0,-0.4,-0.88,4662.0,51
0,-0.38,-0.88,4603.0,51
0,-0.36,-0.88,4533.0,51
0,-0.34,-0.88,4483.0,51
0,-0.31999999999999995,-0.88,4432.0,51
0,-0.29999999999999993,-0.88,4379.0,51
0,-0.28,-0.88,4328.0,51
0,-0.26,-0.88,4278.0,51
0,-0.46,-0.86,4860.0,51
0,-0.44,-0.86,4798.0,51
0,-0.42,-0.86,4740.0,51
