,I_e,I_i,#timesteps,#nodes
0,-0.52,-1.0,773.0,9
0,-0.5,-1.0,1107.0,12
0,-0.48,-1.0,0.0,0
0,-0.46,-1.0,0.0,0
0,-0.44,-1.0,0.0,0
0,-0.42,-1.0,13.0,0
0,-0.4,-1.0,0.0,0
0,-0.38,-1.0,31.0,0
0,0.3800000000000001,-1.0,3439.0,21
0,-0.52,-0.98,898.0,4
0,-0.5,-0.98,979.0,11
0,-0.48,-0.98,1371.0,15
0,-0.46,-0.98,18.0,0
0,-0.44,-0.98,27.0,0
0,-0.42,-0.98,22.0,0
0,-0.4,-0.98,0.0,0
0,-0.38,-0.98,0.0,0
0,-0.36,-0.98,10.0,0
0,-0.52,-0.96,2493.0,2
0,-0.5,-0.96,850.0,9
0,-0.48,-0.96,1210.0,13
0,-0.46,-0.96,2369.0,7
0,-0.44,-0.96,2320.0,9
0,-0.42,-0.96,6.0,0
0,-0.4,-0.96,42.0,0
0,-0.38,-0.96,0.0,0
0,-0.36,-0.96,16.0,0
0,-0.34,-0.96,38.0,0
0,-0.5,-0.94,698.0,8
0,-0.48,-0.94,1061.0,12
0,-0.46,-0.94,1420.0,16
0,-0.44,-0.94,2380.0,7
0,-0.42,-0.94,2337.0,4
0,-0.4,-0.94,11.0,0
0,-0.38,-0.94,0.0,0
0,-0.36,-0.94,16.0,0
0,-0.34,-0.94,41.0,0
0,-0.31999999999999995,-0.94,24.0,0
0,-0.5,-0.92,353.0,4
0,-0.48,-0.92,908.0,10
0,-0.46,-0.92,1264.0,14
0,-0.44,-0.92,2360.0,8
0,-0.42,-0.92,2376.0,2
0,-0.4,-0.92,2316.0,1
0,-0.38,-0.92,33.0,0
0,-0.36,-0.92,0.0,0
0,-0.34,-0.92,37.0,0
0,-0.31999999999999995,-0.92,26.0,0
0,-0.29999999999999993,-0.92,0.0,0
0,-0.5,-0.9,590.0,6
0,-0.48,-0.9,767.0,9
0,-0.46,-0.9,1119.0,12
0,-0.44,-0.9,2282.0,4
0,-0.42,-0.9,2372.0,6
0,-0.4,-0.9,2362.0,2
0,-0.38,-0.9,271.0,3
0,-0.36,-0.9,24.0,0
0,-0.34,-0.9,11.0,0
0,-0.31999999999999995,-0.9,0.0,0
0,-0.29999999999999993,-0.9,10.0,0
0,-0.28,-0.9,0.0,0
0,-0.48,-0.88,1853.0,16
0,-0.46,-0.88,976.0,11
0,-0.44,-0.88,1331.0,15
0,-0.42,-0.88,2365.0,8
0,-0.4,-0.88,2375.0,3
0,-0.38,-0.88,135.0,2
0,-0.36,-0.88,2059.0,2
0,-0.34,-0.88,20.0,0
0,-0.31999999999999995,-0.88,26.0,0
0,-0.29999999999999993,-0.88,42.0,0
0,-0.28,-0.88,0.0,0
0,-0.26,-0.88,0.0,0
0,-0.46,-0.86,2228.0,7
0,-0.44,-0.86,1181.0,13
0,-0.42,-0.86,2359.0,6
0,-0.4,-0.86,2383.0,5
0,-0.38,-0.86,2356.0,1
0,-0.36,-0.86,322.0,3
0,-0.34,-0.86,2216.0,9
0,-0.31999999999999995,-0.86,20.0,0
0,-0.29999999999999993,-0.86,0.0,0
0,-0.28,-0.86,0.0,0
0,-0.26,-0.86,0.0,0
0,-0.24,-0.86,0.0,0
0,-0.46,-0.84,1823.0,7
0,-0.44,-0.84,1035.0,11
0,-0.42,-0.84,1399.0,16
0,-0.4,-0.84,2374.0,7
0,-0.38,-0.84,2367.0,3
0,-0.36,-0.84,185.0,3
0,-0.34,-0.84,2205.0,11
0,-0.31999999999999995,-0.84,2193.0,9
0,-0.29999999999999993,-0.84,2254.0,6
0,-0.28,-0.84,10.0,0
0,-0.26,-0.84,35.0,0
0,-0.24,-0.84,22.0,0
0,-0.22,-0.84,22.0,0
0,-0.44,-0.8200000000000001,1859.0,9
0,-0.42,-0.8200000000000001,1236.0,14
0,-0.4,-0.8200000000000001,2364.0,8
0,-0.38,-0.8200000000000001,2376.0,1
0,-0.36,-0.8200000000000001,2362.0,1
0,-0.34,-0.8200000000000001,406.0,5
0,-0.31999999999999995,-0.8200000000000001,2218.0,9
0,-0.29999999999999993,-0.8200000000000001,2204.0,8
0,-0.28,-0.8200000000000001,2210.0,1
