,I_e,I_i,#timesteps,#nodes
0,-0.52,-1.0,777.0,9
0,-0.5,-1.0,1138.0,13
0,-0.48,-1.0,2328.0,4
0,-0.46,-1.0,2371.0,6
0,-0.44,-1.0,2364.0,2
0,-0.42,-1.0,264.0,3
0,-0.4,-1.0,2232.0,7
0,-0.38,-1.0,2220.0,12
0,0.3800000000000001,-1.0,366.0,4
0,-0.52,-0.98,915.0,4
0,-0.5,-0.98,976.0,11
0,-0.48,-0.98,1354.0,15
0,-0.46,-0.98,2361.0,7
0,-0.44,-0.98,2371.0,4
0,-0.42,-0.98,105.0,2
0,-0.4,-0.98,495.0,6
0,-0.38,-0.98,2233.0,10
0,-0.36,-0.98,2214.0,12
0,-0.52,-0.96,2448.0,1
0,-0.5,-0.96,848.0,9
0,-0.48,-0.96,1208.0,13
0,-0.46,-0.96,2368.0,7
0,-0.44,-0.96,2364.0,5
0,-0.42,-0.96,2371.0,1
0,-0.4,-0.96,361.0,5
0,-0.38,-0.96,2244.0,8
0,-0.36,-0.96,2217.0,13
0,-0.34,-0.96,2208.0,9
0,-0.5,-0.94,757.0,9
0,-0.48,-0.94,1070.0,12
0,-0.46,-0.94,1408.0,16
0,-0.44,-0.94,2371.0,7
0,-0.42,-0.94,2366.0,3
0,-0.4,-0.94,194.0,3
0,-0.38,-0.94,2248.0,6
0,-0.36,-0.94,2230.0,11
0,-0.34,-0.94,2217.0,11
0,-0.31999999999999995,-0.94,2191.0,7
0,-0.5,-0.92,1035.0,6
0,-0.48,-0.92,911.0,10
0,-0.46,-0.92,1269.0,14
0,-0.44,-0.92,2361.0,9
0,-0.42,-0.92,2372.0,2
0,-0.4,-0.92,36.0,1
0,-0.38,-0.92,437.0,5
0,-0.36,-0.92,2238.0,9
0,-0.34,-0.92,2222.0,13
0,-0.31999999999999995,-0.92,2207.0,9
0,-0.29999999999999993,-0.92,2157.0,5
0,-0.5,-0.9,2479.0,4
0,-0.48,-0.9,784.0,9
0,-0.46,-0.9,1136.0,13
0,-0.44,-0.9,2300.0,4
0,-0.42,-0.9,2374.0,6
0,-0.4,-0.9,2371.0,2
0,-0.38,-0.9,283.0,4
0,-0.36,-0.9,2245.0,7
0,-0.34,-0.9,2221.0,12
0,-0.31999999999999995,-0.9,2209.0,10
0,-0.29999999999999993,-0.9,2176.0,6
0,-0.28,-0.9,2129.0,3
0,-0.48,-0.88,1305.0,14
0,-0.46,-0.88,981.0,11
0,-0.44,-0.88,1342.0,15
0,-0.42,-0.88,2356.0,8
0,-0.4,-0.88,2372.0,4
0,-0.38,-0.88,103.0,2
0,-0.36,-0.88,495.0,6
0,-0.34,-0.88,2234.0,10
0,-0.31999999999999995,-0.88,2217.0,12
0,-0.29999999999999993,-0.88,2195.0,8
0,-0.28,-0.88,2149.0,4
0,-0.26,-0.88,2084.0,21
0,-0.46,-0.86,839.0,9
0,-0.44,-0.86,1186.0,13
0,-0.42,-0.86,2362.0,7
0,-0.4,-0.86,2366.0,5
0,-0.38,-0.86,2361.0,1
0,-0.36,-0.86,335.0,4
0,-0.34,-0.86,2240.0,8
0,-0.31999999999999995,-0.86,2216.0,13
0,-0.29999999999999993,-0.86,2205.0,9
0,-0.28,-0.86,2165.0,6
0,-0.26,-0.86,2117.0,2
0,-0.24,-0.86,2086.0,23
0,-0.46,-0.84,791.0,9
0,-0.44,-0.84,1024.0,11
0,-0.42,-0.84,1394.0,15
0,-0.4,-0.84,2359.0,7
0,-0.38,-0.84,2362.0,3
0,-0.36,-0.84,175.0,2
0,-0.34,-0.84,2243.0,5
0,-0.31999999999999995,-0.84,2225.0,11
0,-0.29999999999999993,-0.84,2221.0,11
0,-0.28,-0.84,2197.0,7
0,-0.26,-0.84,2138.0,4
0,-0.24,-0.84,2096.0,25
0,-0.22,-0.84,2082.0,22
0,-0.44,-0.8200000000000001,880.0,10
0,-0.42,-0.8200000000000001,1235.0,14
0,-0.4,-0.8200000000000001,2355.0,9
0,-0.38,-0.8200000000000001,2375.0,1
0,-0.36,-0.8200000000000001,2358.0,1
0,-0.34,-0.8200000000000001,396.0,5
0,-0.31999999999999995,-0.8200000000000001,2243.0,8
0,-0.29999999999999993,-0.8200000000000001,2226.0,13
0,-0.28,-0.8200000000000001,2206.0,9
0,-0.26,-0.8200000000000001,2159.0,5
0,-0.24,-0.8200000000000001,2106.0,1
0,-0.22,-0.8200000000000001,2080.0,23
0,-0.2,-0.8200000000000001,2084.0,20
0,-0.17999999999999994,-0.8200000000000001,2080.0,17
0,-0.42,-0.8,1066.0,12
0,-0.4,-0.8,1435.0,16
0,-0.38,-0.8,2368.0,7
0,-0.36,-0.8,2361.0,3
0,-0.34,-0.8,236.0,3
0,-0.31999999999999995,-0.8,2249.0,6
0,-0.29999999999999993,-0.8,2229.0,12
0,-0.28,-0.8,2214.0,11
0,-0.26,-0.8,2180.0,7
0,-0.24,-0.8,2129.0,3
0,-0.22,-0.8,2089.0,24
0,-0.2,-0.8,2086.0,21
0,-0.17999999999999994,-0.8,2077.0,18
0,-0.16000000000000006,-0.8,2078.0,16
0,-0.42,-0.78,903.0,10
0,-0.4,-0.78,1265.0,14
0,-0.38,-0.78,2364.0,8
0,-0.36,-0.78,2378.0,3
0,-0.34,-0.78,58.0,1
0,-0.31999999999999995,-0.78,446.0,6
0,-0.29999999999999993,-0.78,2235.0,9
0,-0.28,-0.78,2221.0,12
0,-0.26,-0.78,2196.0,8
0,-0.24,-0.78,2149.0,4
0,-0.22,-0.78,2099.0,1
0,-0.2,-0.78,2074.0,22
0,-0.17999999999999994,-0.78,2080.0,19
0,-0.16000000000000006,-0.78,2085.0,17
0,-0.14,-0.78,1813.0,11
0,-0.4,-0.76,1080.0,12
0,-0.38,-0.76,2212.0,3
0,-0.36,-0.76,2374.0,6
0,-0.34,-0.76,2361.0,2
0,-0.31999999999999995,-0.76,282.0,4
