,I_e,I_i,stability,turing,p_random,p_down,wavenumber
0,-1.0,-1.0,1,2,1,1,0.06041046061674694
0,-0.9591836734693877,-1.0,1,1,1,1,0.09246329889504784
0,-0.9183673469387755,-1.0,1,1,1,1,0.12984822775906457
0,-0.8775510204081632,-1.0,1,1,1,1,0.17661493371103484
0,-0.8367346938775511,-1.0,1,1,1,1,0.2381722710896737
0,-0.7959183673469388,-1.0,1,1,1,1,0.3229179388427369
0,-0.7551020408163265,-1.0,1,1,1,1,0.4474018432015044
0,-0.7142857142857143,-1.0,1,1,1,1,0.6575271224978817
0,-0.6734693877551021,-1.0,0,0,3,3,
0,-0.6326530612244898,-1.0,0,0,4,3,
0,-0.5918367346938775,-1.0,0,0,3,3,
0,-0.5510204081632654,-1.0,0,0,3,3,
0,-0.5102040816326531,-1.0,0,0,2,2,
0,-0.4693877551020409,-1.0,0,0,2,2,
0,-0.4285714285714286,-1.0,0,0,2,2,
0,-0.3877551020408164,-1.0,0,0,2,2,
0,-0.34693877551020413,-1.0,0,0,2,2,
0,-0.30612244897959184,-1.0,0,0,2,2,
0,-0.26530612244897966,-1.0,0,0,2,2,
0,-0.22448979591836737,-1.0,0,0,2,2,
0,-0.1836734693877552,-1.0,0,0,2,2,
0,-0.1428571428571429,-1.0,0,0,2,2,
0,-0.10204081632653073,-1.0,0,0,2,2,
0,-0.061224489795918435,-1.0,0,0,2,2,
0,-0.020408163265306145,-1.0,0,0,2,2,
0,0.020408163265306145,-1.0,0,0,2,2,
0,0.06122448979591821,-1.0,0,0,2,2,
0,0.1020408163265305,-1.0,0,0,2,2,
0,0.1428571428571428,-1.0,1,1,1,1,0.7034697508002196
0,0.18367346938775508,-1.0,1,1,1,1,0.4593221189521768
0,0.22448979591836715,-1.0,1,1,1,1,0.3363529937269435
0,0.26530612244897944,-1.0,1,1,1,1,0.25523537852905415
0,0.30612244897959173,-1.0,1,1,1,1,0.1973189430533533
0,0.346938775510204,-1.0,1,1,1,1,0.15427032145808028
0,0.3877551020408163,-1.0,1,1,1,1,0.12147445569358527
0,0.4285714285714284,-1.0,1,1,1,1,0.09606995956850803
0,0.46938775510204067,-1.0,1,1,1,1,0.07615388556994486
0,0.510204081632653,-1.0,1,1,1,1,0.06039857706132182
0,0.5510204081632653,-1.0,1,1,1,1,0.047844727168725336
0,0.5918367346938773,-1.0,1,0,1,1,
0,0.6326530612244896,-1.0,1,0,1,1,
0,0.6734693877551019,-1.0,1,0,1,1,
0,0.7142857142857142,-1.0,1,0,1,1,
0,0.7551020408163265,-1.0,1,0,1,1,
0,0.7959183673469385,-1.0,1,0,1,1,
0,0.8367346938775508,-1.0,1,0,1,1,
0,0.8775510204081631,-1.0,1,0,1,1,
0,0.9183673469387754,-1.0,1,0,1,1,
0,0.9591836734693877,-1.0,1,0,1,1,
0,1.0,-1.0,1,0,1,1,
0,-1.0,-0.9591836734693877,1,2,1,1,0.05808801375965993
0,-0.9591836734693877,-0.9591836734693877,1,2,1,1,0.07387513217428918
0,-0.9183673469387755,-0.9591836734693877,1,1,1,1,0.11273157137674944
0,-0.8775510204081632,-0.9591836734693877,1,1,1,1,0.16004982176661084
0,-0.8367346938775511,-0.9591836734693877,1,1,1,1,0.22014763172956314
0,-0.7959183673469388,-0.9591836734693877,1,1,1,1,0.3012955925627153
0,-0.7551020408163265,-0.9591836734693877,1,1,1,1,0.41779726784122156
0,-0.7142857142857143,-0.9591836734693877,1,1,1,1,0.6035122773215912
0,-0.6734693877551021,-0.9591836734693877,1,1,1,1,1.0174977834489192
0,-0.6326530612244898,-0.9591836734693877,0,0,3,3,
0,-0.5918367346938775,-0.9591836734693877,0,0,3,3,
0,-0.5510204081632654,-0.9591836734693877,0,0,3,3,
0,-0.5102040816326531,-0.9591836734693877,0,0,3,3,
0,-0.4693877551020409,-0.9591836734693877,0,0,3,4,
0,-0.4285714285714286,-0.9591836734693877,0,0,2,2,
0,-0.3877551020408164,-0.9591836734693877,0,0,2,2,
0,-0.34693877551020413,-0.9591836734693877,0,0,2,2,
0,-0.30612244897959184,-0.9591836734693877,0,0,2,2,
0,-0.26530612244897966,-0.9591836734693877,0,0,2,2,
0,-0.22448979591836737,-0.9591836734693877,0,0,2,2,
0,-0.1836734693877552,-0.9591836734693877,0,0,2,2,
0,-0.1428571428571429,-0.9591836734693877,0,0,2,2,
0,-0.10204081632653073,-0.9591836734693877,0,0,2,2,
0,-0.061224489795918435,-0.9591836734693877,0,0,2,2,
0,-0.020408163265306145,-0.9591836734693877,0,0,2,2,
0,0.020408163265306145,-0.9591836734693877,0,0,2,2,
0,0.06122448979591821,-0.9591836734693877,0,0,2,2,
0,0.1020408163265305,-0.9591836734693877,0,0,2,2,
0,0.1428571428571428,-0.9591836734693877,1,1,1,1,0.7152732993717417
0,0.18367346938775508,-0.9591836734693877,1,1,1,1,0.46294556095849854
0,0.22448979591836715,-0.9591836734693877,1,1,1,1,0.3387292610891602
0,0.26530612244897944,-0.9591836734693877,1,1,1,1,0.2570712096656125
0,0.30612244897959173,-0.9591836734693877,1,1,1,1,0.1988515424972151
0,0.346938775510204,-0.9591836734693877,1,1,1,1,0.15561157748055393
