,I_e,I_i,stability,turing,p_random,p_down
0,-1.0,-1.0,1,0,1,1
0,-1.0,-0.975,1,0,1,1
0,-1.0,-0.95,1,0,1,1
0,-1.0,-0.925,1,0,1,1
0,-1.0,-0.9,1,0,1,1
0,-1.0,-0.875,1,0,1,1
0,-1.0,-0.85,1,0,1,1
0,-1.0,-0.825,1,0,1,1
0,-1.0,-0.8,1,0,1,1
0,-1.0,-0.775,1,0,1,1
0,-1.0,-0.75,1,0,1,1
0,-1.0,-0.725,1,0,1,1
0,-1.0,-0.7,1,0,1,1
0,-1.0,-0.675,1,0,1,1
0,-1.0,-0.6499999999999999,1,0,1,1
0,-1.0,-0.625,1,0,1,1
0,-1.0,-0.6,1,0,1,1
0,-1.0,-0.575,1,0,1,1
0,-1.0,-0.55,1,0,1,1
0,-1.0,-0.5249999999999999,1,0,1,1
0,-1.0,-0.5,1,0,1,1
0,-1.0,-0.475,1,0,1,1
0,-1.0,-0.44999999999999996,1,0,1,1
0,-1.0,-0.42499999999999993,1,0,1,1
0,-1.0,-0.3999999999999999,1,0,1,1
0,-1.0,-0.375,1,0,1,1
0,-1.0,-0.35,1,0,1,1
0,-1.0,-0.32499999999999996,1,0,1,1
0,-1.0,-0.29999999999999993,1,0,1,1
0,-1.0,-0.2749999999999999,1,0,1,1
0,-1.0,-0.25,1,0,1,1
0,-1.0,-0.22499999999999998,1,0,1,1
0,-1.0,-0.19999999999999996,1,0,1,1
0,-1.0,-0.17499999999999993,1,0,1,1
0,-1.0,-0.1499999999999999,1,0,1,1
0,-1.0,-0.125,1,0,1,1
0,-1.0,-0.09999999999999998,1,0,1,1
0,-1.0,-0.07499999999999996,1,0,1,1
0,-1.0,-0.04999999999999993,1,0,1,1
0,-1.0,-0.02499999999999991,1,0,1,1
0,-1.0,0.0,1,0,1,1
0,-1.0,0.025000000000000133,1,0,1,1
0,-1.0,0.050000000000000044,1,0,1,1
0,-1.0,0.07499999999999996,1,0,1,1
0,-1.0,0.10000000000000009,1,0,1,1
0,-1.0,0.125,1,0,1,1
0,-1.0,0.15000000000000013,1,0,1,1
0,-1.0,0.17500000000000004,1,0,1,1
0,-1.0,0.20000000000000018,1,0,1,1
0,-1.0,0.2250000000000001,1,0,1,1
0,-1.0,0.25,1,0,1,1
0,-1.0,0.27500000000000013,1,0,1,1
0,-1.0,0.30000000000000004,1,0,1,1
0,-1.0,0.3250000000000002,1,0,1,1
0,-1.0,0.3500000000000001,1,0,1,1
0,-1.0,0.375,1,0,1,1
0,-1.0,0.40000000000000013,1,0,1,1
0,-1.0,0.42500000000000004,1,0,1,1
0,-1.0,0.4500000000000002,1,0,1,1
0,-1.0,0.4750000000000001,1,0,1,1
0,-1.0,0.5,1,0,1,1
0,-1.0,0.5250000000000001,1,0,1,1
0,-1.0,0.55,1,0,1,1
0,-1.0,0.5750000000000002,1,0,1,1
0,-1.0,0.6000000000000001,1,0,1,1
0,-1.0,0.625,1,0,1,1
0,-1.0,0.6500000000000001,1,0,1,1
0,-1.0,0.675,1,0,1,1
0,-1.0,0.7000000000000002,1,0,1,1
0,-1.0,0.7250000000000001,1,0,1,1
0,-1.0,0.75,1,0,1,1
0,-1.0,0.7750000000000001,1,0,1,1
0,-1.0,0.8,1,0,1,1
0,-1.0,0.8250000000000002,1,0,1,1
0,-1.0,0.8500000000000001,1,0,1,1
0,-1.0,0.875,1,0,1,1
0,-1.0,0.9000000000000001,1,0,1,1
0,-1.0,0.925,1,0,1,1
0,-1.0,0.9500000000000002,1,0,1,1
0,-1.0,0.9750000000000001,1,0,1,1
0,-1.0,1.0,1,0,1,1
0,-0.975,-1.0,1,0,1,1
0,-0.975,-0.975,1,0,1,1
0,-0.975,-0.95,1,0,1,1
0,-0.975,-0.925,1,0,1,1
0,-0.975,-0.9,1,0,1,1
0,-0.975,-0.875,1,0,1,1
0,-0.975,-0.85,1,0,1,1
0,-0.975,-0.825,1,0,1,1
0,-0.975,-0.8,1,0,1,1
0,-0.975,-0.775,1,0,1,1
0,-0.975,-0.75,1,0,1,1
0,-0.975,-0.725,1,0,1,1
0,-0.975,-0.7,1,0,1,1
0,-0.975,-0.675,1,0,1,1
0,-0.975,-0.6499999999999999,1,0,1,1
0,-0.975,-0.625,1,0,1,1
0,-0.975,-0.6,1,0,1,1
0,-0.975,-0.575,1,0,1,1
0,-0.975,-0.55,1,0,1,1
0,-0.975,-0.5249999999999999,1,0,1,1
0,-0.975,-0.5,1,0,1,1
0,-0.975,-0.475,1,0,1,1
0,-0.975,-0.44999999999999996,1,0,1,1
0,-0.975,-0.42499999999999993,1,0,1,1
0,-0.975,-0.3999999999999999,1,0,1,1
0,-0.975,-0.375,1,0,1,1
0,-0.975,-0.35,1,0,1,1
0,-0.975,-0.32499999999999996,1,0,1,1
0,-0.975,-0.29999999999999993,1,0,1,1
0,-0.975,-0.2749999999999999,1,0,1,1
0,-0.975,-0.25,1,0,1,1
0,-0.975,-0.22499999999999998,1,0,1,1
0,-0.975,-0.19999999999999996,1,0,1,1
0,-0.975,-0.17499999999999993,1,0,1,1
0,-0.975,-0.1499999999999999,1,0,1,1
0,-0.975,-0.125,1,0,1,1
0,-0.975,-0.09999999999999998,1,0,1,1
0,-0.975,-0.07499999999999996,1,0,1,1
0,-0.975,-0.04999999999999993,1,0,1,1
0,-0.975,-0.02499999999999991,1,0,1,1
0,-0.975,0.0,1,0,1,1
0,-0.975,0.025000000000000133,1,0,1,1
0,-0.975,0.050000000000000044,1,0,1,1
0,-0.975,0.07499999999999996,1,0,1,1
0,-0.975,0.10000000000000009,1,0,1,1
