,I_e,I_i,dom_frequ,up_space,down_space
0,-0.711111111111111,-2.0,6.0,4.166666666666666,4.166666666666666
0,-0.711111111111111,-1.9555555555555555,6.0,4.166666666666666,4.166666666666666
0,-0.711111111111111,-1.9111111111111112,6.0,4.036458333333334,4.296875
0,-0.711111111111111,-1.8666666666666667,6.0,3.90625,4.427083333333334
0,-0.711111111111111,-1.8222222222222224,6.0,3.7760416666666665,4.557291666666666
0,-0.711111111111111,-1.7777777777777777,6.0,3.6458333333333335,4.6875
0,-0.711111111111111,-1.7333333333333334,6.0,3.515625,4.817708333333334
0,-0.711111111111111,-1.6888888888888889,6.0,3.3854166666666665,4.947916666666666
0,-0.711111111111111,-1.6444444444444444,6.0,3.3854166666666665,4.947916666666666
0,-0.711111111111111,-1.6,5.0,3.5937499999999996,6.406249999999999
0,-0.711111111111111,-1.5555555555555556,6.0,3.2552083333333335,5.078125
0,-0.711111111111111,-1.511111111111111,6.0,3.125,5.208333333333334
0,-0.711111111111111,-1.4666666666666668,5.0,3.28125,6.71875
0,-0.711111111111111,-1.422222222222222,5.0,3.2031249999999996,6.796874999999999
0,-0.711111111111111,-1.3777777777777778,6.0,2.864583333333333,5.46875
0,-0.711111111111111,-1.3333333333333333,5.0,3.046875,6.953125
0,-0.711111111111111,-1.2888888888888888,6.0,2.734375,5.598958333333334
0,-0.711111111111111,-1.2444444444444445,5.0,2.734375,7.265625000000001
0,-0.711111111111111,-1.2,5.0,2.65625,7.34375
0,-0.711111111111111,-1.1555555555555554,5.0,2.5,7.5
0,-0.6666666666666665,-2.0,6.0,4.296875,4.036458333333334
0,-0.6666666666666665,-1.9555555555555555,6.0,4.296875,4.036458333333334
0,-0.6666666666666665,-1.9111111111111112,6.0,4.166666666666666,4.166666666666666
0,-0.6666666666666665,-1.8666666666666667,6.0,4.166666666666666,4.166666666666666
0,-0.6666666666666665,-1.8222222222222224,6.0,4.036458333333334,4.296875
0,-0.6666666666666665,-1.7777777777777777,6.0,3.90625,4.427083333333334
0,-0.6666666666666665,-1.7333333333333334,5.0,4.21875,5.78125
0,-0.6666666666666665,-1.6888888888888889,6.0,3.6458333333333335,4.6875
0,-0.6666666666666665,-1.6444444444444444,6.0,3.515625,4.817708333333334
0,-0.6666666666666665,-1.6,5.0,3.8281250000000004,6.171875
0,-0.6666666666666665,-1.5555555555555556,5.0,3.75,6.25
0,-0.6666666666666665,-1.511111111111111,5.0,3.5937499999999996,6.406249999999999
0,-0.6666666666666665,-1.4666666666666668,5.0,3.5937499999999996,6.406249999999999
