,I_e,I_i,stability,turing,turing_hopf,p_random,p_turing
0,-3.0,-5.0,0,0,0,2,0
0,-3.0,-4.86,0,0,0,2,0
0,-3.0,-4.72,0,0,0,2,0
0,-3.0,-4.58,0,0,0,2,0
0,-3.0,-4.4399999999999995,0,0,0,2,0
0,-3.0,-4.3,0,0,0,2,0
0,-3.0,-4.16,0,0,0,2,0
0,-3.0,-4.02,0,0,0,2,0
0,-3.0,-3.88,0,0,0,2,0
0,-3.0,-3.7399999999999998,0,0,0,2,0
0,-3.0,-3.5999999999999996,0,0,0,2,0
0,-3.0,-3.46,0,0,0,4,0
0,-3.0,-3.32,0,0,0,3,0
0,-3.0,-3.1799999999999997,0,0,0,3,0
0,-3.0,-3.04,0,0,0,3,0
0,-3.0,-2.9,0,0,0,4,0
0,-3.0,-2.76,0,0,0,4,0
0,-3.0,-2.6199999999999997,0,0,0,4,0
0,-3.0,-2.4799999999999995,1,1,0,4,4
0,-3.0,-2.34,1,1,0,4,4
0,-3.0,-2.1999999999999997,1,1,0,4,4
0,-3.0,-2.0599999999999996,1,1,0,4,4
0,-3.0,-1.92,1,1,0,3,3
0,-3.0,-1.7799999999999998,1,1,0,3,3
0,-3.0,-1.6399999999999997,1,0,0,1,0
0,-3.0,-1.4999999999999996,1,0,0,1,0
0,-3.0,-1.3599999999999994,1,0,0,1,0
0,-3.0,-1.2199999999999998,1,0,0,1,0
0,-3.0,-1.0799999999999996,1,0,0,1,0
0,-3.0,-0.9399999999999995,1,0,0,1,0
0,-3.0,-0.7999999999999998,1,0,0,1,0
0,-3.0,-0.6599999999999993,1,0,0,1,0
0,-3.0,-0.5199999999999996,1,0,0,1,0
0,-3.0,-0.3799999999999999,1,0,0,1,0
0,-3.0,-0.23999999999999932,1,0,0,1,0
0,-3.0,-0.09999999999999964,1,0,0,1,0
0,-3.0,0.040000000000000924,1,0,0,1,0
0,-3.0,0.1800000000000006,1,0,0,1,0
0,-3.0,0.3200000000000003,1,0,0,1,0
0,-3.0,0.46000000000000085,1,0,0,1,0
0,-3.0,0.6000000000000005,1,0,0,1,0
0,-3.0,0.7400000000000002,1,0,0,1,0
0,-3.0,0.8800000000000008,1,0,0,1,0
0,-3.0,1.0200000000000005,1,0,0,1,0
0,-3.0,1.1600000000000001,1,0,0,1,0
0,-3.0,1.3000000000000007,1,0,0,1,0
0,-3.0,1.4400000000000004,1,0,0,1,0
0,-3.0,1.580000000000001,1,0,0,1,0
0,-3.0,1.7200000000000006,1,0,0,1,0
0,-3.0,1.8600000000000003,1,0,0,1,0
0,-3.0,2.0,1,0,0,1,0
0,-2.88,-5.0,0,0,0,2,0
0,-2.88,-4.86,0,0,0,2,0
0,-2.88,-4.72,0,0,0,2,0
0,-2.88,-4.58,0,0,0,2,0
0,-2.88,-4.4399999999999995,0,0,0,2,0
0,-2.88,-4.3,0,0,0,2,0
0,-2.88,-4.16,0,0,0,2,0
0,-2.88,-4.02,0,0,0,2,0
0,-2.88,-3.88,0,0,0,2,0
0,-2.88,-3.7399999999999998,0,0,0,2,0
0,-2.88,-3.5999999999999996,0,0,0,2,0
0,-2.88,-3.46,0,0,0,2,0
0,-2.88,-3.32,0,0,0,3,0
0,-2.88,-3.1799999999999997,0,0,0,3,0
0,-2.88,-3.04,0,0,0,3,0
0,-2.88,-2.9,0,0,0,3,0
0,-2.88,-2.76,0,0,0,3,0
0,-2.88,-2.6199999999999997,0,0,0,4,0
0,-2.88,-2.4799999999999995,1,1,0,4,4
0,-2.88,-2.34,1,1,0,4,4
0,-2.88,-2.1999999999999997,1,1,0,4,4
0,-2.88,-2.0599999999999996,1,1,0,4,4
0,-2.88,-1.92,1,1,0,4,3
0,-2.88,-1.7799999999999998,1,1,0,3,3
0,-2.88,-1.6399999999999997,1,0,0,1,0
0,-2.88,-1.4999999999999996,1,0,0,1,0
0,-2.88,-1.3599999999999994,1,0,0,1,0
0,-2.88,-1.2199999999999998,1,0,0,1,0
0,-2.88,-1.0799999999999996,1,0,0,1,0
0,-2.88,-0.9399999999999995,1,0,0,1,0
0,-2.88,-0.7999999999999998,1,0,0,1,0
0,-2.88,-0.6599999999999993,1,0,0,1,0
0,-2.88,-0.5199999999999996,1,0,0,1,0
0,-2.88,-0.3799999999999999,1,0,0,1,0
0,-2.88,-0.23999999999999932,1,0,0,1,0
0,-2.88,-0.09999999999999964,1,0,0,1,0
0,-2.88,0.040000000000000924,1,0,0,1,0
0,-2.88,0.1800000000000006,1,0,0,1,0
0,-2.88,0.3200000000000003,1,0,0,1,0
0,-2.88,0.46000000000000085,1,0,0,1,0
0,-2.88,0.6000000000000005,1,0,0,1,0
0,-2.88,0.7400000000000002,1,0,0,1,0
0,-2.88,0.8800000000000008,1,0,0,1,0
0,-2.88,1.0200000000000005,1,0,0,1,0
0,-2.88,1.1600000000000001,1,0,0,1,0
0,-2.88,1.3000000000000007,1,0,0,1,0
0,-2.88,1.4400000000000004,1,0,0,1,0
0,-2.88,1.580000000000001,1,0,0,1,0
0,-2.88,1.7200000000000006,1,0,0,1,0
0,-2.88,1.8600000000000003,1,0,0,1,0
0,-2.88,2.0,1,0,0,1,0
0,-2.76,-5.0,0,0,0,2,0
0,-2.76,-4.86,0,0,0,2,0
0,-2.76,-4.72,0,0,0,2,0
0,-2.76,-4.58,0,0,0,2,0
0,-2.76,-4.4399999999999995,0,0,0,2,0
0,-2.76,-4.3,0,0,0,2,0
0,-2.76,-4.16,0,0,0,2,0
0,-2.76,-4.02,0,0,0,2,0
0,-2.76,-3.88,0,0,0,2,0
0,-2.76,-3.7399999999999998,0,0,0,2,0
0,-2.76,-3.5999999999999996,0,0,0,2,0
0,-2.76,-3.46,0,0,0,2,0
0,-2.76,-3.32,0,0,0,2,0
0,-2.76,-3.1799999999999997,0,0,0,3,0
0,-2.76,-3.04,0,0,0,4,0
0,-2.76,-2.9,0,0,0,3,0
0,-2.76,-2.76,0,0,0,3,0
0,-2.76,-2.6199999999999997,0,0,0,3,0
0,-2.76,-2.4799999999999995,1,1,0,4,4
0,-2.76,-2.34,1,1,0,4,4
0,-2.76,-2.1999999999999997,1,1,0,4,4
0,-2.76,-2.0599999999999996,1,1,0,4,4
0,-2.76,-1.92,1,1,0,4,4
0,-2.76,-1.7799999999999998,1,1,0,3,3
0,-2.76,-1.6399999999999997,1,0,0,1,0
0,-2.76,-1.4999999999999996,1,0,0,1,0
0,-2.76,-1.3599999999999994,1,0,0,1,0
0,-2.76,-1.2199999999999998,1,0,0,1,0
0,-2.76,-1.0799999999999996,1,0,0,1,0
0,-2.76,-0.9399999999999995,1,0,0,1,0
0,-2.76,-0.7999999999999998,1,0,0,1,0
0,-2.76,-0.6599999999999993,1,0,0,1,0
0,-2.76,-0.5199999999999996,1,0,0,1,0
0,-2.76,-0.3799999999999999,1,0,0,1,0
0,-2.76,-0.23999999999999932,1,0,0,1,0
0,-2.76,-0.09999999999999964,1,0,0,1,0
0,-2.76,0.040000000000000924,1,0,0,1,0
0,-2.76,0.1800000000000006,1,0,0,1,0
0,-2.76,0.3200000000000003,1,0,0,1,0
0,-2.76,0.46000000000000085,1,0,0,1,0
0,-2.76,0.6000000000000005,1,0,0,1,0
0,-2.76,0.7400000000000002,1,0,0,1,0
0,-2.76,0.8800000000000008,1,0,0,1,0
0,-2.76,1.0200000000000005,1,0,0,1,0
0,-2.76,1.1600000000000001,1,0,0,1,0
0,-2.76,1.3000000000000007,1,0,0,1,0
0,-2.76,1.4400000000000004,1,0,0,1,0
0,-2.76,1.580000000000001,1,0,0,1,0
0,-2.76,1.7200000000000006,1,0,0,1,0
0,-2.76,1.8600000000000003,1,0,0,1,0
0,-2.76,2.0,1,0,0,1,0
0,-2.64,-5.0,0,0,0,2,0
0,-2.64,-4.86,0,0,0,2,0
0,-2.64,-4.72,0,0,0,2,0
0,-2.64,-4.58,0,0,0,2,0
0,-2.64,-4.4399999999999995,0,0,0,2,0
0,-2.64,-4.3,0,0,0,2,0
0,-2.64,-4.16,0,0,0,2,0
0,-2.64,-4.02,0,0,0,2,0
0,-2.64,-3.88,0,0,0,2,0
0,-2.64,-3.7399999999999998,0,0,0,2,0
0,-2.64,-3.5999999999999996,0,0,0,2,0
0,-2.64,-3.46,0,0,0,2,0
0,-2.64,-3.32,0,0,0,2,0
0,-2.64,-3.1799999999999997,0,0,0,3,0
0,-2.64,-3.04,0,0,0,3,0
0,-2.64,-2.9,0,0,0,3,0
0,-2.64,-2.76,0,0,0,3,0
0,-2.64,-2.6199999999999997,1,1,0,3,3
0,-2.64,-2.4799999999999995,1,1,0,3,3
0,-2.64,-2.34,1,1,0,4,3
0,-2.64,-2.1999999999999997,1,1,0,4,4
0,-2.64,-2.0599999999999996,1,1,0,4,4
0,-2.64,-1.92,1,1,0,4,4
0,-2.64,-1.7799999999999998,1,1,0,3,3
0,-2.64,-1.6399999999999997,1,1,0,3,3
0,-2.64,-1.4999999999999996,1,0,0,1,0
0,-2.64,-1.3599999999999994,1,0,0,1,0
0,-2.64,-1.2199999999999998,1,0,0,1,0
0,-2.64,-1.0799999999999996,1,0,0,1,0
0,-2.64,-0.9399999999999995,1,0,0,1,0
0,-2.64,-0.7999999999999998,1,0,0,1,0
0,-2.64,-0.6599999999999993,1,0,0,1,0
