,I_e,I_i,stability,turing,turing_hopf,p_random,p_turing
0,-3.0,0.0,0,0,0,2,0
0,-3.0,0.14,0,0,0,2,0
0,-3.0,0.28,0,0,0,2,0
0,-3.0,0.42000000000000004,0,0,0,2,0
0,-3.0,0.56,0,0,0,2,0
0,-3.0,0.7000000000000001,0,0,0,2,0
0,-3.0,0.8400000000000001,0,0,0,2,0
0,-3.0,0.9800000000000001,0,0,0,2,0
0,-3.0,1.12,0,0,0,3,0
0,-3.0,1.2600000000000002,0,0,0,3,0
0,-3.0,1.4000000000000001,1,0,0,1,0
0,-3.0,1.54,1,0,0,1,0
0,-3.0,1.6800000000000002,1,0,0,1,0
0,-3.0,1.8200000000000003,1,0,0,1,0
0,-3.0,1.9600000000000002,1,0,0,1,0
0,-3.0,2.1,1,0,0,1,0
0,-3.0,2.24,1,0,0,1,0
0,-3.0,2.3800000000000003,1,0,0,1,0
0,-3.0,2.5200000000000005,1,0,0,1,0
0,-3.0,2.66,1,0,0,1,0
0,-3.0,2.8000000000000003,1,0,0,1,0
0,-3.0,2.9400000000000004,1,0,0,1,0
0,-3.0,3.08,1,0,0,1,0
0,-3.0,3.22,1,0,0,1,0
0,-3.0,3.3600000000000003,1,0,0,1,0
0,-3.0,3.5000000000000004,1,0,0,1,0
0,-3.0,3.6400000000000006,1,0,0,1,0
0,-3.0,3.7800000000000002,1,0,0,1,0
0,-3.0,3.9200000000000004,1,0,0,1,0
0,-3.0,4.0600000000000005,1,0,0,1,0
0,-3.0,4.2,1,0,0,1,0
0,-3.0,4.340000000000001,1,0,0,1,0
0,-3.0,4.48,1,0,0,1,0
0,-3.0,4.62,1,0,0,1,0
0,-3.0,4.760000000000001,1,0,0,1,0
0,-3.0,4.9,1,0,0,1,0
0,-3.0,5.040000000000001,1,0,0,1,0
0,-3.0,5.180000000000001,1,0,0,1,0
0,-3.0,5.32,1,0,0,1,0
0,-3.0,5.460000000000001,1,0,0,1,0
0,-3.0,5.6000000000000005,1,0,0,1,0
0,-3.0,5.74,1,0,0,1,0
0,-3.0,5.880000000000001,1,0,0,1,0
0,-3.0,6.0200000000000005,1,0,0,1,0
0,-3.0,6.16,1,0,0,1,0
0,-3.0,6.300000000000001,1,0,0,1,0
0,-3.0,6.44,1,0,0,1,0
0,-3.0,6.580000000000001,1,0,0,1,0
0,-3.0,6.720000000000001,1,0,0,1,0
0,-3.0,6.86,1,0,0,1,0
0,-3.0,7.0,1,0,0,1,0
0,-2.88,0.0,0,0,0,2,0
