,I_e,I_i,stability,turing,turing_hopf,p_random,p_turing
0,-0.6,-0.9,0,0,0,4,0
0,-0.6,-0.86,1,1,0,4,4
0,-0.6,-0.8200000000000001,1,0,0,1,0
0,-0.6,-0.78,1,0,0,1,0
0,-0.6,-0.74,1,0,0,1,0
0,-0.6,-0.7,1,0,0,1,0
0,-0.6,-0.66,1,0,0,1,0
0,-0.6,-0.62,1,0,0,1,0
0,-0.6,-0.5800000000000001,1,0,0,1,0
0,-0.6,-0.54,1,0,0,1,0
0,-0.6,-0.5,1,0,0,1,0
0,-0.57,-0.9,0,0,0,4,0
0,-0.57,-0.86,0,0,0,4,0
0,-0.57,-0.8200000000000001,1,1,0,4,4
0,-0.57,-0.78,1,0,0,1,0
0,-0.57,-0.74,1,0,0,1,0
0,-0.57,-0.7,1,0,0,1,0
0,-0.57,-0.66,1,0,0,1,0
0,-0.57,-0.62,1,0,0,1,0
0,-0.57,-0.5800000000000001,1,0,0,1,0
0,-0.57,-0.54,1,0,0,1,0
0,-0.57,-0.5,1,0,0,1,0
0,-0.54,-0.9,0,0,0,4,0
0,-0.54,-0.86,0,0,0,4,0
0,-0.54,-0.8200000000000001,0,0,0,4,0
0,-0.54,-0.78,1,1,0,4,4
0,-0.54,-0.74,1,0,0,1,0
0,-0.54,-0.7,1,0,0,1,0
0,-0.54,-0.66,1,0,0,1,0
0,-0.54,-0.62,1,0,0,1,0
0,-0.54,-0.5800000000000001,1,0,0,1,0
0,-0.54,-0.54,1,0,0,1,0
0,-0.54,-0.5,1,0,0,1,0
0,-0.51,-0.9,0,0,0,4,0
0,-0.51,-0.86,0,0,0,4,0
0,-0.51,-0.8200000000000001,0,0,0,4,0
0,-0.51,-0.78,1,1,0,4,4
0,-0.51,-0.74,1,1,0,4,4
0,-0.51,-0.7,1,0,0,1,0
0,-0.51,-0.66,1,0,0,1,0
0,-0.51,-0.62,1,0,0,1,0
0,-0.51,-0.5800000000000001,1,0,0,1,0
0,-0.51,-0.54,1,0,0,1,0
0,-0.51,-0.5,1,0,0,1,0
0,-0.48,-0.9,0,0,0,3,0
0,-0.48,-0.86,0,0,0,4,0
0,-0.48,-0.8200000000000001,0,0,0,4,0
0,-0.48,-0.78,0,0,0,4,0
0,-0.48,-0.74,1,1,0,4,4
0,-0.48,-0.7,1,1,0,4,4
0,-0.48,-0.66,1,0,0,1,0
0,-0.48,-0.62,1,0,0,1,0
0,-0.48,-0.5800000000000001,1,0,0,1,0
0,-0.48,-0.54,1,0,0,1,0
0,-0.48,-0.5,1,0,0,1,0
0,-0.44999999999999996,-0.9,0,0,0,3,0
0,-0.44999999999999996,-0.86,0,0,0,3,0
0,-0.44999999999999996,-0.8200000000000001,0,0,0,4,0
0,-0.44999999999999996,-0.78,0,0,0,4,0
0,-0.44999999999999996,-0.74,0,0,0,4,0
0,-0.44999999999999996,-0.7,1,1,0,4,4
0,-0.44999999999999996,-0.66,1,1,0,3,3
0,-0.44999999999999996,-0.62,1,0,0,1,0
0,-0.44999999999999996,-0.5800000000000001,1,0,0,1,0
0,-0.44999999999999996,-0.54,1,0,0,1,0
0,-0.44999999999999996,-0.5,1,0,0,1,0
0,-0.42,-0.9,0,0,0,2,0
0,-0.42,-0.86,0,0,0,3,0
0,-0.42,-0.8200000000000001,0,0,0,3,0
0,-0.42,-0.78,0,0,0,3,0
0,-0.42,-0.74,0,0,0,4,0
0,-0.42,-0.7,1,1,0,4,4
0,-0.42,-0.66,1,1,0,4,4
0,-0.42,-0.62,1,0,0,1,0
0,-0.42,-0.5800000000000001,1,0,0,1,0
0,-0.42,-0.54,1,0,0,1,0
0,-0.42,-0.5,1,0,0,1,0
0,-0.39,-0.9,0,0,0,2,0
0,-0.39,-0.86,0,0,0,3,0
0,-0.39,-0.8200000000000001,0,0,0,3,0
0,-0.39,-0.78,0,0,0,3,0
0,-0.39,-0.74,0,0,0,4,0
0,-0.39,-0.7,0,0,0,4,0
0,-0.39,-0.66,1,1,0,4,4
0,-0.39,-0.62,1,1,0,4,4
0,-0.39,-0.5800000000000001,1,0,0,1,0
0,-0.39,-0.54,1,0,0,1,0
0,-0.39,-0.5,1,0,0,1,0
0,-0.36,-0.9,0,0,0,2,0
0,-0.36,-0.86,0,0,0,2,0
0,-0.36,-0.8200000000000001,0,0,0,3,0
0,-0.36,-0.78,0,0,0,3,0
0,-0.36,-0.74,0,0,0,3,0
0,-0.36,-0.7,0,0,0,3,0
0,-0.36,-0.66,1,1,0,4,4
0,-0.36,-0.62,1,1,0,4,4
0,-0.36,-0.5800000000000001,1,1,0,3,3
0,-0.36,-0.54,1,0,0,1,0
0,-0.36,-0.5,1,0,0,1,0
0,-0.32999999999999996,-0.9,0,0,0,2,0
0,-0.32999999999999996,-0.86,0,0,0,2,0
0,-0.32999999999999996,-0.8200000000000001,0,0,0,2,0
0,-0.32999999999999996,-0.78,0,0,0,3,0
0,-0.32999999999999996,-0.74,0,0,0,3,0
0,-0.32999999999999996,-0.7,0,0,0,3,0
0,-0.32999999999999996,-0.66,0,0,0,3,0
0,-0.32999999999999996,-0.62,1,1,0,3,4
0,-0.32999999999999996,-0.5800000000000001,1,1,0,4,4
0,-0.32999999999999996,-0.54,1,0,0,1,0
0,-0.32999999999999996,-0.5,1,0,0,1,0
0,-0.3,-0.9,0,0,0,2,0
0,-0.3,-0.86,0,0,0,2,0
0,-0.3,-0.8200000000000001,0,0,0,2,0
0,-0.3,-0.78,0,0,0,3,0
0,-0.3,-0.74,0,0,0,3,0
0,-0.3,-0.7,0,0,0,3,0
0,-0.3,-0.66,0,0,0,3,0
0,-0.3,-0.62,1,1,0,3,3
0,-0.3,-0.5800000000000001,1,1,0,4,3
0,-0.3,-0.54,1,1,0,3,4
0,-0.3,-0.5,1,0,0,1,0
