,I_e,I_i,stability,turing,turing_hopf,p_random
0,-0.7,-1.0,1,0,0,1
0,-0.7,-0.95,1,0,0,1
0,-0.7,-0.9,1,0,0,1
0,-0.7,-0.85,1,0,0,1
0,-0.7,-0.8,1,0,0,1
0,-0.7,-0.75,1,0,0,1
0,-0.7,-0.7,1,0,0,1
0,-0.7,-0.6499999999999999,1,0,0,1
0,-0.7,-0.6,1,0,0,1
0,-0.7,-0.55,1,0,0,1
0,-0.7,-0.5,1,0,0,1
0,-0.7,-0.44999999999999996,1,0,0,1
0,-0.7,-0.3999999999999999,1,0,0,1
0,-0.7,-0.35,1,0,0,1
0,-0.7,-0.29999999999999993,1,0,0,1
0,-0.7,-0.25,1,0,0,1
0,-0.7,-0.19999999999999996,1,0,0,1
0,-0.7,-0.1499999999999999,1,0,0,1
0,-0.7,-0.09999999999999998,1,0,0,1
0,-0.7,-0.04999999999999993,1,0,0,1
0,-0.7,0.0,1,0,0,1
0,-0.7,0.050000000000000044,1,0,0,1
0,-0.7,0.10000000000000009,1,0,0,1
0,-0.7,0.15000000000000013,1,0,0,1
0,-0.7,0.20000000000000018,1,0,0,1
0,-0.7,0.25,1,0,0,1
0,-0.7,0.30000000000000004,1,0,0,1
0,-0.7,0.3500000000000001,1,0,0,1
0,-0.7,0.40000000000000013,1,0,0,1
0,-0.7,0.4500000000000002,1,0,0,1
0,-0.7,0.5,1,0,0,1
0,-0.6533333333333333,-1.0,1,1,0,4
0,-0.6533333333333333,-0.95,1,0,0,1
0,-0.6533333333333333,-0.9,1,0,0,1
0,-0.6533333333333333,-0.85,1,0,0,1
0,-0.6533333333333333,-0.8,1,0,0,1
0,-0.6533333333333333,-0.75,1,0,0,1
0,-0.6533333333333333,-0.7,1,0,0,1
0,-0.6533333333333333,-0.6499999999999999,1,0,0,1
0,-0.6533333333333333,-0.6,1,0,0,1
0,-0.6533333333333333,-0.55,1,0,0,1
0,-0.6533333333333333,-0.5,1,0,0,1
0,-0.6533333333333333,-0.44999999999999996,1,0,0,1
0,-0.6533333333333333,-0.3999999999999999,1,0,0,1
0,-0.6533333333333333,-0.35,1,0,0,1
0,-0.6533333333333333,-0.29999999999999993,1,0,0,1
