,I_e,I_i,stability,turing,turing_hopf,p_random,p_turing
0,-3.0,-5.0,0,0,0,3,0
0,-3.0,-4.84,0,0,0,3,0
0,-3.0,-4.68,0,0,0,3,0
0,-3.0,-4.52,0,0,0,3,0
0,-3.0,-4.36,1,1,0,3,3
0,-3.0,-4.2,1,1,0,3,3
0,-3.0,-4.04,1,1,0,3,3
0,-3.0,-3.88,1,1,0,3,3
0,-3.0,-3.7199999999999998,1,1,0,3,3
0,-3.0,-3.56,1,0,0,1,0
0,-3.0,-3.4,1,0,0,1,0
0,-3.0,-3.24,1,0,0,1,0
0,-3.0,-3.08,1,0,0,1,0
0,-3.0,-2.92,1,0,0,1,0
0,-3.0,-2.76,1,0,0,1,0
0,-3.0,-2.6,1,0,0,1,0
0,-3.0,-2.44,1,0,0,1,0
0,-3.0,-2.28,1,0,0,1,0
0,-3.0,-2.12,1,0,0,1,0
0,-3.0,-1.96,1,0,0,1,0
0,-3.0,-1.7999999999999998,1,0,0,1,0
0,-3.0,-1.6400000000000001,1,0,0,1,0
0,-3.0,-1.48,1,0,0,1,0
0,-3.0,-1.3199999999999998,1,0,0,1,0
0,-3.0,-1.1600000000000001,1,0,0,1,0
0,-3.0,-1.0,1,0,0,1,0
0,-3.0,-0.8399999999999999,1,0,0,1,0
0,-3.0,-0.6799999999999997,1,0,0,1,0
0,-3.0,-0.5199999999999996,1,0,0,1,0
0,-3.0,-0.3600000000000003,1,0,0,1,0
0,-3.0,-0.20000000000000018,1,0,0,1,0
0,-3.0,-0.040000000000000036,1,0,0,1,0
0,-3.0,0.1200000000000001,1,0,0,1,0
0,-3.0,0.28000000000000025,1,0,0,1,0
0,-3.0,0.4400000000000004,1,0,0,1,0
0,-3.0,0.6000000000000005,1,0,0,1,0
0,-3.0,0.7599999999999998,1,0,0,1,0
0,-3.0,0.9199999999999999,1,0,0,1,0
0,-3.0,1.08,1,0,0,1,0
0,-3.0,1.2400000000000002,1,0,0,1,0
0,-3.0,1.4000000000000004,1,0,0,1,0
0,-3.0,1.5600000000000005,1,0,0,1,0
0,-3.0,1.7199999999999998,1,0,0,1,0
0,-3.0,1.88,1,0,0,1,0
0,-3.0,2.04,1,0,0,1,0
0,-3.0,2.2,1,0,0,1,0
0,-3.0,2.3600000000000003,1,0,0,1,0
0,-3.0,2.5200000000000005,1,0,0,1,0
0,-3.0,2.6799999999999997,1,0,0,1,0
0,-3.0,2.84,1,0,0,1,0
0,-3.0,3.0,1,0,0,1,0
0,-2.88,-5.0,0,0,0,3,0
0,-2.88,-4.84,0,0,0,3,0
0,-2.88,-4.68,0,0,0,3,0
0,-2.88,-4.52,0,0,0,3,0
0,-2.88,-4.36,1,1,0,3,3
0,-2.88,-4.2,1,1,0,3,3
0,-2.88,-4.04,1,1,0,3,3
0,-2.88,-3.88,1,1,0,3,3
0,-2.88,-3.7199999999999998,1,1,0,3,3
0,-2.88,-3.56,1,1,0,3,3
0,-2.88,-3.4,1,0,0,1,0
0,-2.88,-3.24,1,0,0,1,0
0,-2.88,-3.08,1,0,0,1,0
0,-2.88,-2.92,1,0,0,1,0
0,-2.88,-2.76,1,0,0,1,0
0,-2.88,-2.6,1,0,0,1,0
0,-2.88,-2.44,1,0,0,1,0
0,-2.88,-2.28,1,0,0,1,0
0,-2.88,-2.12,1,0,0,1,0
0,-2.88,-1.96,1,0,0,1,0
0,-2.88,-1.7999999999999998,1,0,0,1,0
0,-2.88,-1.6400000000000001,1,0,0,1,0
0,-2.88,-1.48,1,0,0,1,0
0,-2.88,-1.3199999999999998,1,0,0,1,0
0,-2.88,-1.1600000000000001,1,0,0,1,0
0,-2.88,-1.0,1,0,0,1,0
0,-2.88,-0.8399999999999999,1,0,0,1,0
0,-2.88,-0.6799999999999997,1,0,0,1,0
0,-2.88,-0.5199999999999996,1,0,0,1,0
0,-2.88,-0.3600000000000003,1,0,0,1,0
0,-2.88,-0.20000000000000018,1,0,0,1,0
0,-2.88,-0.040000000000000036,1,0,0,1,0
0,-2.88,0.1200000000000001,1,0,0,1,0
0,-2.88,0.28000000000000025,1,0,0,1,0
0,-2.88,0.4400000000000004,1,0,0,1,0
0,-2.88,0.6000000000000005,1,0,0,1,0
0,-2.88,0.7599999999999998,1,0,0,1,0
0,-2.88,0.9199999999999999,1,0,0,1,0
0,-2.88,1.08,1,0,0,1,0
0,-2.88,1.2400000000000002,1,0,0,1,0
0,-2.88,1.4000000000000004,1,0,0,1,0
0,-2.88,1.5600000000000005,1,0,0,1,0
0,-2.88,1.7199999999999998,1,0,0,1,0
0,-2.88,1.88,1,0,0,1,0
0,-2.88,2.04,1,0,0,1,0
0,-2.88,2.2,1,0,0,1,0
