,I_e,I_i,stability,turing,p_random,p_down,wavenumber
0,-1.0,-1.0,1,0,1,1,
0,-0.8666666666666667,-1.0,1,0,1,1,
0,-0.7333333333333334,-1.0,1,0,1,1,
0,-0.6,-1.0,0,0,0,0,
0,-0.4666666666666667,-1.0,0,0,2,0,
0,-0.33333333333333337,-1.0,0,0,2,0,
0,-0.19999999999999996,-1.0,0,0,2,0,
0,-0.06666666666666665,-1.0,0,0,2,0,
0,0.06666666666666665,-1.0,0,0,2,0,
0,0.19999999999999996,-1.0,1,0,1,0,
0,0.33333333333333326,-1.0,1,0,1,1,
0,0.46666666666666656,-1.0,1,0,1,1,
0,0.6000000000000001,-1.0,1,0,1,1,
0,0.7333333333333334,-1.0,1,0,1,1,
0,0.8666666666666667,-1.0,1,0,1,1,
0,1.0,-1.0,1,0,1,1,
0,-1.0,-0.8666666666666667,1,0,1,1,
0,-0.8666666666666667,-0.8666666666666667,1,0,1,1,
0,-0.7333333333333334,-0.8666666666666667,1,0,1,1,
0,-0.6,-0.8666666666666667,1,1,0,0,0.003821103089252738
0,-0.4666666666666667,-0.8666666666666667,0,0,0,0,
0,-0.33333333333333337,-0.8666666666666667,0,0,2,0,
0,-0.19999999999999996,-0.8666666666666667,0,0,2,0,
0,-0.06666666666666665,-0.8666666666666667,0,0,2,0,
0,0.06666666666666665,-0.8666666666666667,0,0,2,0,
0,0.19999999999999996,-0.8666666666666667,1,0,1,0,
0,0.33333333333333326,-0.8666666666666667,1,0,1,0,
0,0.46666666666666656,-0.8666666666666667,1,0,1,1,
0,0.6000000000000001,-0.8666666666666667,1,0,1,1,
0,0.7333333333333334,-0.8666666666666667,1,0,1,1,
0,0.8666666666666667,-0.8666666666666667,1,0,1,1,
0,1.0,-0.8666666666666667,1,0,1,1,
0,-1.0,-0.7333333333333334,1,0,1,1,
0,-0.8666666666666667,-0.7333333333333334,1,0,1,1,
0,-0.7333333333333334,-0.7333333333333334,1,0,1,1,
0,-0.6,-0.7333333333333334,1,0,1,1,
0,-0.4666666666666667,-0.7333333333333334,0,0,0,0,
0,-0.33333333333333337,-0.7333333333333334,0,0,0,0,
