,I_e,I_i,stability,turing,turing_hopf,p_random,p_turing
0,-5.0,-5.0,1,0,0,1,0
0,-5.0,-4.8,1,0,0,1,0
0,-5.0,-4.6,1,0,0,1,0
0,-5.0,-4.4,1,0,0,1,0
0,-5.0,-4.2,1,0,0,1,0
0,-5.0,-4.0,1,0,0,1,0
0,-5.0,-3.8,1,0,0,1,0
0,-5.0,-3.5999999999999996,1,0,0,1,0
0,-5.0,-3.4,1,0,0,1,0
0,-5.0,-3.2,1,0,0,1,0
0,-5.0,-3.0,1,0,0,1,0
0,-5.0,-2.8,1,0,0,1,0
0,-5.0,-2.5999999999999996,1,0,0,1,0
0,-5.0,-2.4,1,0,0,1,0
0,-5.0,-2.1999999999999997,1,0,0,1,0
0,-5.0,-2.0,1,0,0,1,0
0,-5.0,-1.7999999999999998,1,0,0,1,0
0,-5.0,-1.5999999999999996,1,0,0,1,0
0,-5.0,-1.4,1,0,0,1,0
0,-5.0,-1.1999999999999997,1,0,0,1,0
0,-5.0,-1.0,1,0,0,1,0
0,-5.0,-0.7999999999999998,1,0,0,1,0
0,-5.0,-0.5999999999999996,1,0,0,1,0
0,-5.0,-0.39999999999999947,1,0,0,1,0
0,-5.0,-0.1999999999999993,1,0,0,1,0
0,-5.0,0.0,1,0,0,1,0
0,-5.0,0.20000000000000018,1,0,0,1,0
0,-5.0,0.40000000000000036,1,0,0,1,0
0,-5.0,0.6000000000000005,1,0,0,1,0
0,-5.0,0.8000000000000007,1,0,0,1,0
0,-5.0,1.0,1,0,0,1,0
0,-5.0,1.2000000000000002,1,0,0,1,0
0,-5.0,1.4000000000000004,1,0,0,1,0
0,-5.0,1.6000000000000005,1,0,0,1,0
0,-5.0,1.8000000000000007,1,0,0,1,0
0,-5.0,2.0,1,0,0,1,0
0,-5.0,2.2,1,0,0,1,0
0,-5.0,2.4000000000000004,1,0,0,1,0
0,-5.0,2.6000000000000005,1,0,0,1,0
0,-5.0,2.8000000000000007,1,0,0,1,0
0,-5.0,3.0,1,0,0,1,0
0,-5.0,3.200000000000001,1,0,0,1,0
0,-5.0,3.4000000000000004,1,0,0,1,0
0,-5.0,3.5999999999999996,1,0,0,1,0
0,-5.0,3.8000000000000007,1,0,0,1,0
0,-5.0,4.0,1,0,0,1,0
0,-5.0,4.200000000000001,1,0,0,1,0
0,-5.0,4.4,1,0,0,1,0
0,-5.0,4.600000000000001,1,0,0,1,0
0,-5.0,4.800000000000001,1,0,0,1,0
0,-5.0,5.0,1,0,0,1,0
0,-4.8,-5.0,1,0,0,1,0
0,-4.8,-4.8,1,0,0,1,0
0,-4.8,-4.6,1,0,0,1,0
0,-4.8,-4.4,1,0,0,1,0
0,-4.8,-4.2,1,0,0,1,0
